Date,Open,High,Low,Close,Adj Close,Volume
2018-11-30,27.5,27.5,27.5,27.5,27.5,71300
2018-12-03,27.5,27.5,27.5,27.5,27.5,0
2018-12-04,27.5,27.5,27.5,27.5,27.5,0
2018-12-05,27.5,27.5,27.5,27.5,27.5,0
2018-12-06,27.5,27.5,27.5,27.5,27.5,0
2018-12-07,27.5,27.5,27.5,27.5,27.5,0
2018-12-10,27.5,27.5,27.5,27.5,27.5,0
2018-12-11,27.5,27.5,27.5,27.5,27.5,0
2018-12-13,27.5,27.5,27.5,27.5,27.5,0
2018-12-14,27.5,27.5,27.5,27.5,27.5,0
2018-12-17,27.5,27.5,27.5,27.5,27.5,0
2018-12-18,27.5,27.5,27.5,27.5,27.5,0
2018-12-19,27.5,27.5,27.5,27.5,27.5,0
2018-12-20,27.5,27.5,27.5,27.5,27.5,0
2018-12-21,27.5,27.5,27.5,27.5,27.5,0
2018-12-24,27.5,27.5,27.5,27.5,27.5,0
2018-12-26,27.5,27.5,27.5,27.5,27.5,0
2018-12-27,27.5,27.5,27.5,27.5,27.5,0
2018-12-28,27.5,27.5,27.5,27.5,27.5,0
2018-12-31,27.5,27.5,27.5,27.5,27.5,0
2019-01-02,27.5,27.5,27.5,27.5,27.5,0
2019-01-03,27.5,27.5,27.5,27.5,27.5,0
2019-01-04,27.5,27.5,27.5,27.5,27.5,0
2019-01-07,27.5,27.5,27.5,27.5,27.5,0
2019-01-08,27.5,27.5,27.5,27.5,27.5,0
2019-01-09,27.5,27.5,27.5,27.5,27.5,0
2019-01-10,27.5,27.5,27.5,27.5,27.5,0
2019-01-11,27.5,27.5,27.5,27.5,27.5,0
2019-01-14,27.5,27.5,27.5,27.5,27.5,0
2019-01-15,27.5,27.5,27.5,27.5,27.5,0
2019-01-16,27.5,27.5,27.5,27.5,27.5,0
2019-01-17,27.5,27.5,27.5,27.5,27.5,0
2019-01-18,27.5,27.5,27.5,27.5,27.5,0
2019-01-21,27.5,27.5,27.5,27.5,27.5,0
2019-01-22,27.5,27.5,27.5,27.5,27.5,0
2019-01-23,27.5,27.5,27.5,27.5,27.5,0
2019-01-24,27.5,27.5,27.5,27.5,27.5,0
2019-01-25,27.5,27.5,27.5,27.5,27.5,0
2019-01-28,27.5,27.5,27.5,27.5,27.5,0
2019-01-29,27.5,27.5,27.5,27.5,27.5,0
2019-01-30,27.5,27.5,27.5,27.5,27.5,0
