Date,Open,High,Low,Close,Adj Close,Volume
2018-12-21,596.200012,596.200012,595.0,595.0,595.0,6103
2018-12-24,595.0,595.0,595.0,595.0,595.0,0
2018-12-26,595.0,595.0,595.0,595.0,595.0,0
2018-12-27,595.0,595.0,595.0,595.0,595.0,0
2018-12-28,595.0,595.0,595.0,595.0,595.0,0
2018-12-31,595.0,595.0,595.0,595.0,595.0,0
2019-01-02,595.0,595.0,595.0,595.0,595.0,0
2019-01-03,595.0,595.0,595.0,595.0,595.0,0
2019-01-04,595.0,595.0,595.0,595.0,595.0,0
2019-01-07,595.0,595.0,595.0,595.0,595.0,0
2019-01-08,595.0,595.0,595.0,595.0,595.0,0
2019-01-09,595.0,595.0,595.0,595.0,595.0,0
2019-01-10,595.0,595.0,595.0,595.0,595.0,0
2019-01-11,595.0,595.0,595.0,595.0,595.0,0
2019-01-14,595.0,595.0,595.0,595.0,595.0,0
2019-01-15,595.0,595.0,595.0,595.0,595.0,0
2019-01-16,595.0,595.0,595.0,595.0,595.0,0
2019-01-17,595.0,595.0,595.0,595.0,595.0,0
2019-01-18,595.0,595.0,595.0,595.0,595.0,0
2019-01-21,595.0,595.0,595.0,595.0,595.0,0
2019-01-22,595.0,595.0,595.0,595.0,595.0,0
2019-01-23,595.0,595.0,595.0,595.0,595.0,0
2019-01-24,595.0,595.0,595.0,595.0,595.0,0
2019-01-25,595.0,595.0,595.0,595.0,595.0,0
2019-01-28,595.0,595.0,595.0,595.0,595.0,0
2019-01-29,595.0,595.0,595.0,595.0,595.0,0
2019-01-30,595.0,595.0,595.0,595.0,595.0,0
2019-01-31,595.0,595.0,595.0,595.0,595.0,0
2019-02-01,595.0,595.0,595.0,595.0,595.0,0
