Date,Open,High,Low,Close,Adj Close,Volume
2018-08-28,56.0,56.0,56.0,56.0,56.0,0
2018-08-29,56.0,56.0,56.0,56.0,56.0,0
2018-08-30,56.0,56.0,56.0,56.0,56.0,0
2018-08-31,56.0,56.0,56.0,56.0,56.0,0
2018-09-03,56.0,56.0,56.0,56.0,56.0,0
2018-09-04,56.0,56.0,56.0,56.0,56.0,0
2018-09-05,56.0,56.0,56.0,56.0,56.0,0
2018-09-06,56.0,56.0,56.0,56.0,56.0,0
2018-09-07,56.0,56.0,56.0,56.0,56.0,0
2018-09-10,56.0,56.0,56.0,56.0,56.0,0
2018-09-11,56.0,56.0,56.0,56.0,56.0,0
2018-09-12,56.0,56.0,56.0,56.0,56.0,0
2018-09-13,56.0,56.0,56.0,56.0,56.0,0
2018-09-14,56.0,56.0,56.0,56.0,56.0,0
2018-09-17,56.0,56.0,56.0,56.0,56.0,0
2018-09-18,56.0,56.0,56.0,56.0,56.0,0
2018-09-19,56.0,56.0,56.0,56.0,56.0,0
2018-09-20,56.0,56.0,56.0,56.0,56.0,0
2018-09-21,56.0,56.0,56.0,56.0,56.0,0
2018-09-24,56.0,56.0,56.0,56.0,56.0,0
2018-09-25,56.0,56.0,56.0,56.0,56.0,0
2018-09-26,56.0,56.0,56.0,56.0,56.0,0
2018-09-27,56.0,56.0,56.0,56.0,56.0,0
2018-09-28,56.0,56.0,56.0,56.0,56.0,0
2018-10-01,56.0,56.0,56.0,56.0,56.0,0
2018-10-02,56.0,56.0,56.0,56.0,56.0,0
2018-10-03,56.0,56.0,56.0,56.0,56.0,0
2018-10-04,56.0,56.0,56.0,56.0,56.0,0
2018-10-05,56.0,56.0,56.0,56.0,56.0,0
2018-10-08,56.0,56.0,56.0,56.0,56.0,0
2018-10-09,56.0,56.0,56.0,56.0,56.0,0
2018-10-10,56.0,56.0,56.0,56.0,56.0,0
2018-10-11,56.0,56.0,56.0,56.0,56.0,0
2018-10-12,56.0,56.0,56.0,56.0,56.0,0
2018-10-15,56.0,56.0,56.0,56.0,56.0,0
2018-10-16,56.0,56.0,56.0,56.0,56.0,0
2018-10-17,56.0,56.0,56.0,56.0,56.0,0
2018-10-18,56.0,56.0,56.0,56.0,56.0,0
2018-10-19,56.0,56.0,56.0,56.0,56.0,0
2018-10-22,56.0,56.0,56.0,56.0,56.0,0
2018-10-23,56.0,56.0,56.0,56.0,56.0,0
2018-10-24,56.0,56.0,56.0,56.0,56.0,0
2018-10-25,56.0,56.0,56.0,56.0,56.0,0
2018-10-26,56.0,56.0,56.0,56.0,56.0,0
2018-10-29,56.0,56.0,56.0,56.0,56.0,0
2018-10-30,56.0,56.0,56.0,56.0,56.0,0
2018-10-31,56.0,56.0,56.0,56.0,56.0,0
2018-11-01,56.0,56.0,56.0,56.0,56.0,0
2018-11-05,56.0,56.0,56.0,56.0,56.0,0
2018-11-06,56.0,56.0,56.0,56.0,56.0,0
2018-11-07,56.0,56.0,56.0,56.0,56.0,0
2018-11-08,56.0,56.0,56.0,56.0,56.0,0
2018-11-09,56.0,56.0,56.0,56.0,56.0,0
2018-11-12,56.0,56.0,56.0,56.0,56.0,0
2018-11-13,56.0,56.0,56.0,56.0,56.0,0
2018-11-14,56.0,56.0,56.0,56.0,56.0,0
2018-11-15,56.0,56.0,56.0,56.0,56.0,0
2018-11-16,56.0,56.0,56.0,56.0,56.0,0
2018-11-20,56.0,56.0,56.0,56.0,56.0,0
2018-11-21,56.0,56.0,56.0,56.0,56.0,0
2018-11-22,56.0,56.0,56.0,56.0,56.0,0
2018-11-23,56.0,56.0,56.0,56.0,56.0,0
2018-11-26,56.0,56.0,56.0,56.0,56.0,0
2018-11-27,56.0,56.0,56.0,56.0,56.0,0
2018-11-28,56.0,56.0,56.0,56.0,56.0,0
2018-11-29,56.0,56.0,56.0,56.0,56.0,0
