Date,Open,High,Low,Close,Adj Close,Volume
2010-01-21,584.5,584.700012,583.75,583.75,583.75,0
2010-02-04,528.700012,528.700012,526.669983,526.669983,526.669983,0
2010-02-05,518.0,518.0,518.0,518.0,518.0,0
2010-03-02,521.200012,521.200012,521.200012,521.200012,521.200012,0
2010-03-04,535.0,535.0,535.0,535.0,535.0,0
2010-03-26,535.5,535.5,535.0,535.0,535.0,0
2010-04-08,522.5,522.5,522.5,522.5,522.5,0
2010-04-16,535.0,535.0,535.0,535.0,535.0,0
2010-04-29,486.0,486.0,486.0,486.0,486.0,0
2010-05-05,441.0,441.0,441.0,441.0,441.0,0
2010-05-06,441.0,441.0,441.0,441.0,441.0,0
2010-05-10,476.0,481.0,476.0,481.0,481.0,0
2010-05-14,424.73999000000003,424.73999000000003,424.73999000000003,424.73999000000003,424.73999000000003,0
2010-05-17,425.0,425.0,425.0,425.0,425.0,0
2010-05-18,425.0,425.0,425.0,425.0,425.0,0
2010-05-19,425.0,425.0,425.0,425.0,425.0,0
2010-05-20,425.0,425.0,425.0,425.0,425.0,0
2010-05-21,425.0,425.0,425.0,425.0,425.0,0
2010-05-27,426.75,426.75,426.75,426.75,426.75,0
2010-05-28,400.0,400.0,400.0,400.0,400.0,0
2010-05-31,400.0,400.0,400.0,400.0,400.0,0
2010-06-01,400.0,400.0,400.0,400.0,400.0,0
2010-06-09,398.0,398.0,398.0,398.0,398.0,0
2010-06-10,413.5,413.5,413.5,413.5,413.5,0
2010-06-24,431.299988,431.299988,431.299988,431.299988,431.299988,0
2010-06-25,426.5,426.5,426.5,426.5,426.5,0
2010-06-30,419.60000599999995,419.60000599999995,419.60000599999995,419.60000599999995,419.60000599999995,2300
2010-07-01,432.799988,432.799988,432.799988,432.799988,432.799988,560
2010-07-02,433.5,433.5,433.5,433.5,433.5,560
2010-07-12,466.0,466.0,466.0,466.0,466.0,30
2010-07-14,478.0,478.0,478.0,478.0,478.0,400
2010-07-16,482.39999400000005,482.39999400000005,482.39999400000005,482.39999400000005,482.39999400000005,2100
2010-07-20,483.5,483.5,483.5,483.5,483.5,3200
2010-07-26,500.0,500.0,500.0,500.0,500.0,450
2010-08-03,524.299988,524.299988,524.299988,524.299988,524.299988,2500
2010-08-05,516.599976,516.599976,516.599976,516.599976,516.599976,5000
2010-08-06,519.75,519.75,519.75,519.75,519.75,5000
2010-08-10,519.0,519.0,519.0,519.0,519.0,0
2010-08-11,495.01000999999997,498.450012,495.01000999999997,495.01000999999997,495.01000999999997,5000
2010-08-12,519.0,519.0,519.0,519.0,519.0,0
2010-08-13,519.0,519.0,519.0,519.0,519.0,0
2010-08-16,455.0,519.0,455.0,455.0,455.0,0
2010-08-17,455.0,455.0,455.0,455.0,455.0,0
