Date,Open,High,Low,Close,Adj Close,Volume
2010-02-03,1535.0,1535.0,1535.0,1535.0,1535.0,50
2010-02-04,1517.0,1517.0,1498.0,1498.0,1498.0,120
2010-02-08,1470.0,1474.5,1470.0,1474.5,1474.5,535
2010-02-09,1501.0,1501.0,1501.0,1501.0,1501.0,730
2010-02-11,1475.0,1483.0,1475.0,1482.5,1482.5,5470
2010-02-16,1549.339966,1558.0,1549.339966,1558.0,1558.0,900
2010-02-17,1585.0,1585.310059,1585.0,1585.310059,1585.310059,185
2010-02-18,1597.0,1597.0,1597.0,1597.0,1597.0,645
2010-02-22,1470.0,1470.0,1468.0,1468.0,1468.0,220
2010-02-23,1368.75,1368.75,1368.75,1368.75,1368.75,2815
2010-02-25,1288.75,1288.75,1288.75,1288.75,1288.75,200
2010-02-26,1338.75,1338.75,1338.75,1338.75,1338.75,100
2010-03-02,1349.0,1349.0,1349.0,1349.0,1349.0,10
2010-03-03,1378.810059,1378.810059,1378.810059,1378.810059,1378.810059,50
2010-03-05,1379.72998,1379.72998,1379.72998,1379.72998,1379.72998,150
2010-03-09,1340.0,1340.0,1340.0,1340.0,1340.0,100
2010-03-18,1417.449951,1417.449951,1417.449951,1417.449951,1417.449951,150
2010-03-22,1377.0,1377.0,1377.0,1377.0,1377.0,35
2010-03-24,1385.0,1385.0,1385.0,1385.0,1385.0,100
2010-03-26,1457.0,1457.0,1457.0,1457.0,1457.0,200
2010-03-29,1480.0,1480.0,1460.0,1480.0,1480.0,110
2010-04-14,1588.0,1588.0,1588.0,1588.0,1588.0,10
2010-04-16,1630.0,1630.0,1630.0,1630.0,1630.0,20
2010-04-23,1616.0,1616.0,1616.0,1616.0,1616.0,150
2010-04-27,1594.0,1597.0,1594.0,1597.0,1597.0,6855
2010-04-29,1837.0,1837.0,1799.0,1812.0,1812.0,3450
2010-05-11,1613.949951,1613.949951,1613.949951,1613.949951,1613.949951,70
2010-05-19,1400.0,1419.0,1400.0,1419.0,1419.0,1270
2010-05-21,1451.130005,1451.130005,1451.130005,1451.130005,1451.130005,6500
2010-05-24,1456.599976,1456.599976,1456.599976,1456.599976,1456.599976,970
2010-06-03,1433.75,1446.0,1433.75,1444.0,1444.0,5640
2010-06-09,1372.459961,1372.459961,1372.459961,1372.459961,1372.459961,8000
2010-06-15,1437.849976,1437.849976,1437.849976,1437.849976,1437.849976,100
2010-06-21,1567.75,1567.75,1528.5,1528.5,1528.5,695
2010-06-22,1534.98999,1534.98999,1534.98999,1534.98999,1534.98999,5200
2010-07-22,1760.0,1760.0,1760.0,1760.0,1760.0,100
2010-07-27,1725.0,1725.0,1725.0,1725.0,1725.0,5
2010-08-02,1600.0,1600.0,1600.0,1600.0,1600.0,60
2010-08-06,1618.5,1618.5,1618.5,1618.5,1618.5,2975
2010-08-23,1644.0,1644.0,1644.0,1644.0,1644.0,50
