Date,Open,High,Low,Close,Adj Close,Volume
2012-12-06,385.100006,385.100006,385.100006,385.100006,385.100006,1000
2012-12-18,393.600006,393.600006,393.600006,393.600006,393.600006,1000
2013-04-02,413.570007,413.570007,413.570007,413.570007,413.570007,5800
2013-05-07,419.920013,419.920013,419.920013,419.920013,419.920013,14400
2014-12-03,614.960022,614.960022,614.960022,614.960022,614.960022,28525
2015-04-23,687.1099849999999,687.1099849999999,687.1099849999999,687.1099849999999,687.1099849999999,28525
2015-04-28,686.219971,686.219971,686.219971,686.219971,686.219971,58500
2016-11-09,870.0,870.0,870.0,870.0,870.0,87476
2016-11-14,937.5,942.0,937.5,942.0,942.0,14945
2016-11-22,939.5,941.320007,939.5,941.320007,941.320007,15761
2016-11-23,956.0,956.0,956.0,956.0,956.0,430
2016-11-25,958.5,958.7000119999999,958.5,958.7000119999999,958.7000119999999,18006
2016-12-06,957.0,957.0,957.0,957.0,957.0,3906
2016-12-15,987.0,987.0,987.0,987.0,987.0,162
2016-12-16,972.0,972.0,972.0,972.0,972.0,168
2016-12-20,976.5499880000001,976.5499880000001,976.5499880000001,976.5499880000001,976.5499880000001,161
2016-12-21,960.0,960.0,960.0,960.0,960.0,205
2016-12-22,988.0,988.0,980.0,980.0,980.0,10949
2016-12-28,982.0,982.0,969.0,969.0,969.0,28640
2017-01-04,1019.0,1019.0,1019.0,1019.0,1019.0,217
2017-01-09,1005.0,1005.0,1005.0,1005.0,1005.0,607
2017-01-13,1019.0,1019.0,1019.0,1019.0,1019.0,155
2017-01-18,1036.0,1036.0,1036.0,1036.0,1036.0,737
2017-01-26,1024.0,1025.0,1024.0,1025.0,1025.0,2406
2017-01-27,1008.0,1008.0,998.2999880000001,998.2999880000001,998.2999880000001,1077
2017-01-30,983.7999880000001,984.5,983.7999880000001,984.5,984.5,339
2017-01-31,979.7999880000001,990.0,979.7999880000001,990.0,990.0,973
2017-02-17,1006.2999880000001,1006.599976,1006.2999880000001,1006.599976,1006.599976,13352
2017-02-23,983.4600220000001,983.4600220000001,983.4600220000001,983.4600220000001,983.4600220000001,10000
2017-03-06,971.0,971.0,971.0,971.0,971.0,201
2017-03-07,966.0,966.0,965.0,965.0,965.0,1022
2017-03-08,970.0,975.0,970.0,972.5,972.5,330
2017-03-10,970.0,970.0,970.0,970.0,970.0,146
2017-03-13,969.0,969.7000119999999,969.0,969.7000119999999,969.7000119999999,325
2017-03-14,968.5,968.5,968.5,968.5,968.5,327
2017-03-15,960.5,960.5,960.5,960.5,960.5,1323
2017-03-31,960.5,960.5,960.5,960.5,960.5,1903
2017-04-07,915.0,915.0,914.0,914.0,914.0,1991
2017-04-11,915.599976,917.7999880000001,915.599976,917.7999880000001,917.7999880000001,3295
2017-04-18,898.0,898.0,898.0,898.0,898.0,58
2017-04-21,923.7000119999999,923.7000119999999,923.7000119999999,923.7000119999999,923.7000119999999,160
2017-04-24,929.0,929.0,929.0,929.0,929.0,641
2017-04-25,941.0,941.0,941.0,941.0,941.0,277
2017-04-27,946.0,946.0,946.0,946.0,946.0,279
2017-05-05,938.0,938.0,938.0,938.0,938.0,2130
2017-05-08,937.0,937.0,937.0,937.0,937.0,42
2017-05-10,938.0,940.0,938.0,940.0,940.0,367
2017-05-12,925.0,925.0,925.0,925.0,925.0,58
2017-05-25,918.5,918.5,918.5,918.5,918.5,3853
2017-06-01,935.0,935.0,935.0,935.0,935.0,120
2017-06-13,913.2999880000001,913.2999880000001,913.2999880000001,913.2999880000001,913.2999880000001,163
2017-06-14,908.0,908.0,908.0,908.0,908.0,25768
2017-06-29,912.0,912.0,912.0,912.0,912.0,43
2017-07-07,906.0,906.0,906.0,906.0,906.0,130
2017-07-25,908.7999880000001,908.7999880000001,908.7999880000001,908.7999880000001,908.7999880000001,287
2017-08-07,908.7999880000001,908.7999880000001,908.7999880000001,908.7999880000001,908.7999880000001,0
2017-08-08,908.7999880000001,908.7999880000001,908.7999880000001,908.7999880000001,908.7999880000001,0
2017-08-09,908.7999880000001,908.7999880000001,908.7999880000001,908.7999880000001,908.7999880000001,0
2017-08-10,896.25,896.25,895.75,896.169983,896.169983,472
2017-08-11,896.169983,896.169983,896.169983,896.169983,896.169983,0
2017-08-14,896.169983,896.169983,896.169983,896.169983,896.169983,0
2017-08-15,893.0,893.0,893.0,893.0,893.0,156
2017-08-16,890.0,890.0,888.0,888.0,888.0,757
2017-08-17,888.0,888.0,888.0,888.0,888.0,0
2017-08-18,888.0,888.0,888.0,888.0,888.0,0
2017-08-21,888.0,888.0,888.0,888.0,888.0,0
