Date,Open,High,Low,Close,Adj Close,Volume
2013-03-01,238.399994,238.399994,238.399994,238.399994,238.399994,16950
2013-04-01,237.809998,237.809998,237.809998,237.809998,237.809998,1400
2013-07-01,251.66000400000001,251.66000400000001,251.66000400000001,251.66000400000001,251.66000400000001,4060
2013-07-30,262.440002,262.440002,262.440002,262.440002,262.440002,640
2013-09-04,262.959991,262.959991,262.959991,262.959991,262.959991,1270
2013-09-05,263.549988,263.549988,263.549988,263.549988,263.549988,590
2013-09-24,263.399994,263.399994,263.399994,263.399994,263.399994,590
2013-10-02,262.519989,262.519989,262.519989,262.519989,262.519989,5450
2013-10-04,263.5,263.5,263.5,263.5,263.5,770
2013-10-11,264.200012,264.200012,264.200012,264.200012,264.200012,500
2013-10-16,257.839996,257.839996,257.839996,257.839996,257.839996,980
2013-10-23,271.5,271.5,271.5,271.5,271.5,1420
2013-10-28,269.109985,269.109985,269.109985,269.109985,269.109985,2550
2013-11-07,274.480011,274.480011,274.480011,274.480011,274.480011,2050
2013-11-11,274.660004,274.660004,273.079987,273.079987,273.079987,7710
2013-11-15,269.73999,269.73999,269.73999,269.73999,269.73999,1790
2013-11-20,271.0,271.0,271.0,271.0,271.0,840
2013-11-27,268.399994,268.399994,268.399994,268.399994,268.399994,2620
2013-12-09,261.549988,261.549988,261.549988,261.549988,261.549988,2500
2013-12-16,261.0,261.0,258.799988,258.799988,258.799988,5350
2013-12-20,264.299988,264.299988,264.299988,264.299988,264.299988,1040
2014-01-07,268.200012,268.200012,268.200012,268.200012,268.200012,520
2014-01-13,264.070007,264.070007,264.070007,264.070007,264.070007,1620
2014-01-17,273.799988,273.799988,273.799988,273.799988,273.799988,2810
2014-01-21,273.230011,273.230011,273.230011,273.230011,273.230011,870
2014-01-23,275.899994,275.899994,275.899994,275.899994,275.899994,420
2014-01-27,272.519989,272.519989,272.519989,272.519989,272.519989,760
2014-01-30,275.799988,275.799988,275.799988,275.799988,275.799988,1230
2014-02-05,269.630005,269.630005,269.630005,269.630005,269.630005,1140
2014-02-10,274.25,274.25,274.25,274.25,274.25,5000
2014-02-12,278.549988,278.549988,278.549988,278.549988,278.549988,1280
2014-02-20,284.369995,284.369995,284.369995,284.369995,284.369995,940
2014-02-27,282.209991,282.209991,282.209991,282.209991,282.209991,2660
2014-03-04,284.140015,284.140015,284.140015,284.140015,284.140015,2810
2014-03-07,277.160004,277.160004,277.160004,277.160004,277.160004,4140
2014-03-14,285.149994,285.149994,285.149994,285.149994,285.149994,930
2014-03-31,290.329987,290.329987,290.329987,290.329987,290.329987,6410
2014-04-08,291.77999900000003,292.5,291.77999900000003,292.5,292.5,3040
2014-04-16,295.820007,295.820007,295.820007,295.820007,295.820007,1410
2014-04-30,302.0,302.0,302.0,302.0,302.0,2445
2014-05-22,291.350006,291.350006,291.350006,291.350006,291.350006,2070
2014-05-29,292.0,292.0,292.0,292.0,292.0,1110
2014-06-05,298.859985,298.859985,298.859985,298.859985,298.859985,7740
2014-06-25,305.880005,305.880005,305.880005,305.880005,305.880005,1550
2014-06-26,306.640015,306.640015,306.640015,306.640015,306.640015,900
2014-07-01,305.899994,305.899994,305.899994,305.899994,305.899994,9990
2014-07-21,300.380005,300.380005,300.380005,300.380005,300.380005,3140
2014-07-31,298.72000099999997,298.72000099999997,298.72000099999997,298.72000099999997,298.72000099999997,480
2014-08-05,298.51001,298.51001,298.51001,298.51001,298.51001,2210
2014-08-15,294.0,294.0,294.0,294.0,294.0,310
2014-08-27,305.799988,305.799988,305.799988,305.799988,305.799988,2270
2014-09-15,305.940002,305.940002,305.940002,305.940002,305.940002,840
2014-10-02,305.5,305.5,305.5,305.5,305.5,10070
2014-10-15,303.399994,303.399994,303.399994,303.399994,303.399994,1000
2014-10-16,305.290009,305.290009,305.290009,305.290009,305.290009,2830
2014-10-24,319.72000099999997,319.72000099999997,319.72000099999997,319.72000099999997,319.72000099999997,6440
2014-10-31,326.869995,326.869995,326.869995,326.869995,326.869995,870
2014-11-07,331.0,331.0,331.0,331.0,331.0,1130
2014-11-11,330.709991,330.709991,330.709991,330.709991,330.709991,1100
2014-11-20,330.299988,330.299988,330.299988,330.299988,330.299988,1652
2014-11-25,328.910004,328.910004,328.910004,328.910004,328.910004,2180
2014-12-01,339.600006,339.600006,339.600006,339.600006,339.600006,1580
2014-12-16,353.290009,353.290009,353.290009,353.290009,353.290009,1960
2015-01-02,364.799988,364.799988,364.799988,364.799988,364.799988,10080
2015-01-06,367.5,367.5,367.5,367.5,367.5,230
2015-02-06,371.25,371.25,371.25,371.25,371.25,1990
2015-02-13,367.0,367.0,367.0,367.0,367.0,3940
2015-03-03,362.0,362.0,362.0,362.0,362.0,3750
2015-03-13,364.940002,364.940002,364.940002,364.940002,364.940002,1650
2015-03-25,355.200012,355.200012,355.200012,355.200012,355.200012,2800
2015-03-31,362.0,362.0,362.0,362.0,362.0,940
2015-04-07,358.899994,358.899994,358.899994,358.899994,358.899994,470
2015-04-08,359.049988,359.049988,359.049988,359.049988,359.049988,1460
2015-04-14,363.0,363.0,363.0,363.0,363.0,500
2015-04-15,364.700012,364.700012,364.700012,364.700012,364.700012,1040
2015-04-28,373.0,373.0,373.0,373.0,373.0,170
2015-06-05,359.950012,359.950012,359.950012,359.950012,359.950012,5460
2015-06-25,345.399994,345.399994,345.399994,345.399994,345.399994,4220
2015-06-29,345.799988,345.799988,345.799988,345.799988,345.799988,2200
2015-07-01,347.0,347.0,347.0,347.0,347.0,7192
2015-07-22,361.630005,361.630005,361.630005,361.630005,361.630005,10710
2015-07-28,366.959991,366.959991,366.959991,366.959991,366.959991,490
2015-08-07,373.160004,373.160004,373.160004,373.160004,373.160004,1500
2015-08-10,372.190002,372.190002,372.190002,372.190002,372.190002,2670
2015-08-11,376.809998,376.809998,376.809998,376.809998,376.809998,1760
2015-08-18,390.399994,390.399994,390.399994,390.399994,390.399994,940
2015-10-08,379.0,386.5,379.0,386.25,386.25,53630
2015-10-27,373.200012,373.200012,373.200012,373.200012,373.200012,70
2015-11-30,372.950012,373.0,372.299988,372.299988,372.299988,134445
2016-06-30,498.5,498.5,498.5,498.5,498.5,22339
