Date,Open,High,Low,Close,Adj Close,Volume
2018-08-28,46.0,46.0,46.0,46.0,46.0,0
2018-08-29,46.0,46.0,46.0,46.0,46.0,0
2018-08-30,46.0,46.0,46.0,46.0,46.0,0
2018-08-31,46.0,46.0,46.0,46.0,46.0,0
2018-09-03,46.0,46.0,46.0,46.0,46.0,0
2018-09-04,46.0,46.0,46.0,46.0,46.0,0
2018-09-05,46.0,46.0,46.0,46.0,46.0,0
2018-09-06,46.0,46.0,46.0,46.0,46.0,0
2018-09-07,46.0,46.0,46.0,46.0,46.0,0
2018-09-10,46.0,46.0,46.0,46.0,46.0,0
2018-09-11,46.0,46.0,46.0,46.0,46.0,0
2018-09-12,46.0,46.0,46.0,46.0,46.0,0
2018-09-13,46.0,46.0,46.0,46.0,46.0,0
2018-09-14,46.0,46.0,46.0,46.0,46.0,0
2018-09-17,46.0,46.0,46.0,46.0,46.0,0
2018-09-18,46.0,46.0,46.0,46.0,46.0,0
2018-09-19,46.0,46.0,46.0,46.0,46.0,0
2018-09-20,46.0,46.0,46.0,46.0,46.0,0
2018-09-21,46.0,46.0,46.0,46.0,46.0,0
2018-09-24,46.0,46.0,46.0,46.0,46.0,0
2018-09-25,46.0,46.0,46.0,46.0,46.0,0
2018-09-26,46.0,46.0,46.0,46.0,46.0,0
2018-09-27,46.0,46.0,46.0,46.0,46.0,0
2018-09-28,46.0,46.0,46.0,46.0,46.0,0
2018-10-01,46.0,46.0,46.0,46.0,46.0,0
2018-10-02,46.0,46.0,46.0,46.0,46.0,0
2018-10-03,46.0,46.0,46.0,46.0,46.0,0
2018-10-04,46.0,46.0,46.0,46.0,46.0,0
2018-10-05,46.0,46.0,46.0,46.0,46.0,0
2018-10-08,46.0,46.0,46.0,46.0,46.0,0
2018-10-09,46.0,46.0,46.0,46.0,46.0,0
2018-10-10,46.0,46.0,46.0,46.0,46.0,0
2018-10-11,46.0,46.0,46.0,46.0,46.0,0
2018-10-12,46.0,46.0,46.0,46.0,46.0,0
2018-10-15,46.0,46.0,46.0,46.0,46.0,0
2018-10-16,46.0,46.0,46.0,46.0,46.0,0
2018-10-17,46.0,46.0,46.0,46.0,46.0,0
2018-10-18,46.0,46.0,46.0,46.0,46.0,0
2018-10-19,46.0,46.0,46.0,46.0,46.0,0
2018-10-22,46.0,46.0,46.0,46.0,46.0,0
2018-10-23,46.0,46.0,46.0,46.0,46.0,0
2018-10-24,46.0,46.0,46.0,46.0,46.0,0
2018-10-25,46.0,46.0,46.0,46.0,46.0,0
2018-10-26,46.0,46.0,46.0,46.0,46.0,0
2018-10-29,46.0,46.0,46.0,46.0,46.0,0
2018-10-30,46.0,46.0,46.0,46.0,46.0,0
2018-10-31,46.0,46.0,46.0,46.0,46.0,0
2018-11-01,46.0,46.0,46.0,46.0,46.0,0
2018-11-05,46.0,46.0,46.0,46.0,46.0,0
2018-11-06,46.0,46.0,46.0,46.0,46.0,0
2018-11-07,46.0,46.0,46.0,46.0,46.0,0
2018-11-08,46.0,46.0,46.0,46.0,46.0,0
2018-11-09,46.0,46.0,46.0,46.0,46.0,0
2018-11-12,46.0,46.0,46.0,46.0,46.0,0
2018-11-13,46.0,46.0,46.0,46.0,46.0,0
2018-11-14,46.0,46.0,46.0,46.0,46.0,0
2018-11-15,46.0,46.0,46.0,46.0,46.0,0
2018-11-16,46.0,46.0,46.0,46.0,46.0,0
2018-11-20,46.0,46.0,46.0,46.0,46.0,0
2018-11-21,46.0,46.0,46.0,46.0,46.0,0
2018-11-22,46.0,46.0,46.0,46.0,46.0,0
2018-11-23,46.0,46.0,46.0,46.0,46.0,0
2018-11-26,46.0,46.0,46.0,46.0,46.0,0
