Date,Open,High,Low,Close,Adj Close,Volume
2018-09-24,73.199997,73.199997,73.199997,73.199997,73.144035,0
2018-09-25,73.199997,73.199997,73.199997,73.199997,73.144035,0
2018-09-26,73.199997,73.199997,73.199997,73.199997,73.144035,0
2018-09-27,73.199997,73.199997,73.199997,73.199997,73.144035,0
2018-09-28,73.199997,73.199997,73.199997,73.199997,73.144035,0
2018-10-01,73.199997,73.199997,73.199997,73.199997,73.144035,0
2018-10-02,73.199997,73.199997,73.199997,73.199997,73.144035,0
2018-10-03,73.199997,73.199997,73.199997,73.199997,73.144035,0
2018-10-04,73.199997,73.199997,73.199997,73.199997,73.144035,0
2018-10-05,73.199997,73.199997,73.199997,73.199997,73.144035,0
2018-10-08,73.199997,73.199997,73.199997,73.199997,73.144035,0
2018-10-09,73.199997,73.199997,73.199997,73.199997,73.144035,0
2018-10-10,73.199997,73.199997,73.199997,73.199997,73.144035,0
2018-10-11,73.199997,73.199997,73.199997,73.199997,73.144035,0
2018-10-12,73.199997,73.199997,73.199997,73.199997,73.144035,0
2018-10-15,73.199997,73.199997,73.199997,73.199997,73.144035,0
2018-10-16,73.199997,73.199997,73.199997,73.199997,73.144035,0
2018-10-17,73.199997,73.199997,73.199997,73.199997,73.144035,0
2018-10-18,73.199997,73.199997,73.199997,73.199997,73.144035,0
2018-10-19,73.199997,73.199997,73.199997,73.199997,73.144035,0
2018-10-22,73.199997,73.199997,73.199997,73.199997,73.144035,0
2018-10-23,73.199997,73.199997,73.199997,73.199997,73.144035,0
2018-10-24,73.199997,73.199997,73.199997,73.199997,73.144035,0
2018-10-25,73.199997,73.199997,73.199997,73.199997,73.144035,0
2018-10-26,73.199997,73.199997,73.199997,73.199997,73.144035,0
2018-10-29,73.199997,73.199997,73.199997,73.199997,73.144035,0
2018-10-30,73.199997,73.199997,73.199997,73.199997,73.144035,0
2018-10-31,73.199997,73.199997,73.199997,73.199997,73.144035,0
2018-11-01,73.199997,73.199997,73.199997,73.199997,73.144035,0
2018-11-05,73.199997,73.199997,73.199997,73.199997,73.144035,0
2018-11-06,73.199997,73.199997,73.199997,73.199997,73.144035,0
2018-11-07,73.199997,73.199997,73.199997,73.199997,73.144035,0
2018-11-08,73.199997,73.199997,73.199997,73.199997,73.144035,0
2018-11-09,73.199997,73.199997,73.199997,73.199997,73.144035,0
2018-11-12,73.199997,73.199997,73.199997,73.199997,73.144035,0
2018-11-13,73.199997,73.199997,73.199997,73.199997,73.144035,0
2018-11-14,50.220001,50.220001,50.220001,50.220001,50.181606,97348
2018-11-15,50.220001,50.220001,50.220001,50.220001,50.181606,0
2018-11-16,48.689999,48.689999,48.689999,48.689999,48.652771,142935
2018-11-20,48.689999,48.689999,48.689999,48.689999,48.652771,0
2018-11-21,48.689999,48.689999,48.689999,48.689999,48.652771,0
2018-11-22,48.689999,48.689999,48.689999,48.689999,48.652771,0
2018-11-23,48.689999,48.689999,48.689999,48.689999,48.652771,0
2018-11-26,48.689999,48.689999,48.689999,48.689999,48.652771,0
2018-11-27,48.689999,48.689999,48.689999,48.689999,48.652771,0
2018-11-28,48.689999,48.689999,48.689999,48.689999,48.652771,0
2018-11-29,48.689999,48.689999,48.689999,48.689999,48.652771,0
2018-11-30,48.689999,48.689999,48.689999,48.689999,48.652771,0
2018-12-03,48.689999,48.689999,48.689999,48.689999,48.652771,0
2018-12-04,45.98,45.98,45.98,45.98,45.944846999999996,148088
2018-12-05,45.98,45.98,45.98,45.98,45.944846999999996,0
2018-12-06,45.98,45.98,45.98,45.98,45.944846999999996,0
2018-12-07,45.98,45.98,45.98,45.98,45.944846999999996,0
2018-12-10,45.98,45.98,45.98,45.98,45.944846999999996,0
2018-12-11,42.98,42.98,42.98,42.98,42.947140000000005,21186
2018-12-13,42.98,42.98,42.98,42.98,42.947140000000005,0
2018-12-14,42.98,42.98,42.98,42.98,42.947140000000005,0
2018-12-17,42.25,42.25,42.25,42.25,42.217696999999994,96394
2018-12-18,42.25,42.25,42.25,42.25,42.217696999999994,0
2018-12-19,42.25,42.25,42.25,42.25,42.217696999999994,0
2018-12-20,42.25,42.25,42.25,42.25,42.217696999999994,0
2018-12-21,42.25,42.25,42.25,42.25,42.217696999999994,0
2018-12-24,42.25,42.25,42.25,42.25,42.217696999999994,0
2018-12-26,42.25,42.25,42.25,42.25,42.217696999999994,0
2018-12-27,43.419998,43.419998,43.419998,43.419998,43.386803,23073
2018-12-28,44.080002,44.080002,44.080002,44.080002,44.046299,47184
2018-12-31,44.080002,44.080002,44.080002,44.080002,44.046299,0
2019-01-02,44.080002,44.080002,44.080002,44.080002,44.046299,0
2019-01-03,44.080002,44.080002,44.080002,44.080002,44.046299,0
2019-01-04,44.080002,44.080002,44.080002,44.080002,44.046299,0
2019-01-07,44.080002,44.080002,44.080002,44.080002,44.046299,0
2019-01-08,44.080002,44.080002,44.080002,44.080002,44.046299,0
2019-01-09,44.080002,44.080002,44.080002,44.080002,44.046299,0
2019-01-10,44.080002,44.080002,44.080002,44.080002,44.080002,0
2019-01-11,44.080002,44.080002,44.080002,44.080002,44.080002,0
2019-01-14,47.07,47.07,47.07,47.07,47.07,378248
2019-01-15,47.07,47.07,47.07,47.07,47.07,0
2019-01-16,47.07,47.07,47.07,47.07,47.07,0
2019-01-17,47.07,47.07,47.07,47.07,47.07,0
2019-01-18,46.82,46.82,46.82,46.82,46.82,82782
2019-01-21,46.82,46.82,46.82,46.82,46.82,0
2019-01-22,46.82,46.82,46.82,46.82,46.82,0
2019-01-23,46.82,46.82,46.82,46.82,46.82,0
2019-01-24,46.82,46.82,46.82,46.82,46.82,0
2019-01-25,46.82,46.82,46.82,46.82,46.82,0
2019-01-28,46.82,46.82,46.82,46.82,46.82,0
2019-01-29,46.82,46.82,46.82,46.82,46.82,0
2019-01-30,46.82,46.82,46.82,46.82,46.82,0
2019-01-31,46.82,46.82,46.82,46.82,46.82,0
2019-02-01,46.82,46.82,46.82,46.82,46.82,0
