Date,Open,High,Low,Close,Adj Close,Volume
2010-02-03,17.299999,19.5,17.299999,17.299999,14.053111999999999,0
2010-02-04,12.51,19.5,12.51,12.51,10.162107,0
2010-02-05,12.5,19.5,12.5,12.5,10.153983,0
2010-02-08,12.6,12.6,12.6,12.6,10.235216000000001,0
2010-02-09,11.5,19.5,11.5,11.5,9.341664,0
2010-02-10,11.5,11.5,11.5,11.5,9.341664,0
2010-02-11,11.5,11.5,11.5,11.5,9.341664,0
2010-02-12,11.51,19.49,11.51,11.51,9.349788,0
2010-02-15,11.51,19.5,11.51,11.51,9.349788,0
2010-02-16,11.51,11.51,11.51,11.51,9.349788,0
2010-02-17,11.51,11.51,11.51,11.51,9.349788,0
2010-02-18,11.51,20.4,11.51,11.51,9.349788,0
2010-02-19,11.51,20.4,11.51,11.51,9.349788,0
2010-02-22,11.51,20.4,11.51,11.51,9.349788,0
2010-02-23,15.0,20.4,15.0,15.0,12.184781,0
2010-02-25,18.200001,18.5,18.200001,18.200001,14.7842,11000
2010-02-26,17.549999,18.0,17.540001,17.549999,14.256192,13921300
2010-03-01,17.51,17.51,17.51,17.51,14.223699,26080000
2010-03-02,19.0,19.0,17.6,17.6,14.296807999999999,0
2010-03-03,17.5,17.6,17.49,17.5,14.215576,76141600
2010-03-04,17.4,17.440001000000002,17.0,17.4,14.134343,1168200
2010-03-05,17.48,17.49,17.200001,17.48,14.199328,871900
2010-03-08,17.48,17.5,17.4,17.48,14.199328,1082800
2010-03-09,17.450001,17.450001,17.200001,17.299999,14.053111999999999,106951
2010-03-10,17.200001,17.299999,17.200001,17.200001,13.971881,186600
2010-03-11,17.26,17.299999,17.200001,17.26,14.020617999999999,2458700
2010-03-12,17.370001000000002,17.4,17.200001,17.370001000000002,14.109975,168000
2010-03-16,17.200001,17.34,17.15,17.200001,13.971881,139900
2010-03-17,17.23,17.35,17.200001,17.23,13.996248999999999,169600
2010-03-18,17.190001000000002,17.299999,17.190001000000002,17.190001000000002,13.96376,343300
2010-03-19,17.1,17.200001,17.0,17.1,13.89065,197100
2010-03-22,17.1,17.299999,17.1,17.1,13.89065,395000
2010-03-23,17.23,17.35,17.110001,17.23,13.996248999999999,787500
2010-03-24,17.299999,17.299999,17.23,17.299999,14.053111999999999,653600
2010-03-25,17.35,17.35,17.23,17.35,14.093731,2022700
2010-03-26,17.219998999999998,17.34,17.110001,17.219998999999998,13.988126999999999,1486800
2010-03-29,17.299999,17.35,17.219998999999998,17.299999,14.053111999999999,19000
2010-03-30,17.16,17.299999,17.1,17.16,13.939388000000001,108800
2010-03-31,17.120001000000002,17.290001,17.1,17.120001000000002,13.906898000000002,85600
2010-04-05,17.129998999999998,17.299999,17.1,17.129998999999998,13.915018,93200
2010-04-06,17.25,17.25,17.1,17.25,14.012498999999998,158000
2010-04-07,17.1,17.25,17.0,17.1,13.89065,427700
2010-04-08,17.299999,17.559998999999998,17.25,17.299999,14.053111999999999,1122200
2010-04-09,17.370001000000002,17.4,17.200001,17.370001000000002,14.109975,386200
2010-04-12,17.799999,17.799999,17.4,17.799999,14.459272,374700
2010-04-13,17.719998999999998,18.0,17.549999,17.719998999999998,14.394285,728300
2010-04-14,17.690001000000002,17.700001,17.5,17.690001000000002,14.369917999999998,2405200
2010-04-15,17.690001000000002,17.690001000000002,17.6,17.690001000000002,14.369917999999998,326200
2010-04-16,17.65,17.690001000000002,17.5,17.65,14.337426,322000
2010-04-19,17.5,17.700001,17.5,17.5,14.215576,206300
2010-04-20,17.549999,17.700001,17.5,17.549999,14.256192,225700
2010-04-21,17.5,17.59,17.5,17.5,14.215576,81900
2010-04-22,17.6,17.6,17.59,17.6,14.296807999999999,148900
2010-04-23,18.35,18.42,17.700001,18.35,14.906047000000001,1360900
2010-04-26,18.459999,19.08,18.4,18.459999,14.995401999999999,2232900
2010-04-27,18.41,19.08,18.16,18.41,14.954789000000002,902300
2010-04-28,18.299999,19.0,18.15,18.299999,14.865434,4260500
2010-04-29,18.190001000000002,18.879998999999998,18.15,18.190001000000002,14.776078,4555600
2010-04-30,18.27,18.780001000000002,18.25,18.27,14.841063,329700
2010-05-04,18.25,18.5,18.0,18.07,14.678598000000001,2857635
2010-05-05,18.0,18.200001,18.0,18.0,14.621737,3468500
2010-05-06,17.799999,18.0,17.799999,17.799999,14.459272,768500
2010-05-07,17.799999,17.83,17.799999,17.799999,14.459272,77600
2010-05-10,18.1,18.4,18.0,18.1,14.70297,545900
2010-05-11,18.23,18.23,18.0,18.23,14.808568,319600
2010-05-12,18.5,18.5,18.23,18.5,15.027894,787000
2010-05-13,18.540001,18.549999,18.4,18.540001,15.06039,1416800
2010-05-14,18.219998999999998,18.530001000000002,18.200001,18.219998999999998,14.800447,480700
2010-05-17,17.9,17.950001,17.48,17.48,14.599988,452300
2010-05-18,17.799999,17.799999,17.4,17.48,14.599988,344000
2010-05-19,17.48,17.950001,17.48,17.48,14.599988,452300
2010-05-20,17.41,17.48,17.4,17.41,14.541522,885900
2010-05-21,17.5,17.5,17.5,17.5,14.616693,471600
2010-05-24,17.780001000000002,17.780001000000002,17.450001,17.780001000000002,14.85056,107000
2010-05-25,17.6,17.77,17.299999,17.6,14.700216000000001,137500
2010-05-26,17.48,17.549999,17.48,17.48,14.599988,92100
2010-05-27,17.860001,18.0,17.4,17.860001,14.91738,1818300
2010-05-28,17.950001,18.0,17.700001,17.950001,14.992554,373300
2010-05-31,17.93,18.0,17.700001,17.93,14.975848999999998,85000
2010-06-01,17.99,17.99,17.6,17.99,15.025962,15500
2010-06-02,17.950001,17.99,17.9,17.950001,14.992554,170900
2010-06-03,17.950001,17.950001,17.85,17.93,14.975848999999998,113452
2010-06-04,17.6,17.92,17.6,17.6,14.700216000000001,110900
2010-06-07,17.4,17.65,17.4,17.4,14.533170000000002,24600
2010-06-08,17.299999,17.5,17.299999,17.299999,14.449646,671800
2010-06-09,17.51,17.99,17.4,17.51,14.625047,142000
2010-06-10,17.379998999999998,17.6,17.299999,17.379998999999998,14.516464000000001,106600
2010-06-11,17.9,18.0,17.0,17.9,14.950791,735800
2010-06-14,17.5,17.9,17.5,17.5,14.616693,966600
2010-06-15,17.5,17.75,17.5,17.5,14.616693,87300
2010-06-16,17.99,18.0,17.5,17.99,15.025962,186800
2010-06-17,17.799999,17.9,17.5,17.799999,14.867268,1128500
2010-06-18,17.950001,17.950001,17.799999,17.950001,14.992554,70300
2010-06-21,17.700001,17.93,17.700001,17.93,14.975848999999998,82100
2010-06-22,17.799999,18.0,17.799999,17.799999,14.867268,416500
2010-06-23,17.799999,17.799999,17.5,17.799999,14.867268,205300
2010-06-24,17.799999,17.799999,17.51,17.799999,14.867268,155100
2010-06-25,17.9,17.9,17.799999,17.9,14.950791,58100
2010-06-28,17.799999,17.799999,17.799999,17.799999,14.867268,85000
2010-06-29,17.5,17.51,17.5,17.5,14.616693,578100
2010-06-30,17.5,17.5,17.4,17.5,14.616693,139700
2010-07-01,17.18,17.5,17.0,17.18,14.349419000000001,435600
2010-07-02,17.35,17.5,17.15,17.35,14.491407999999998,409500
2010-07-05,17.35,17.450001,17.35,17.35,14.491407999999998,11300
2010-07-06,17.370001000000002,17.530001000000002,17.200001,17.370001000000002,14.508113,589400
