Date,Open,High,Low,Close,Adj Close,Volume
2014-09-12,10.09,10.09,9.45,9.6,9.6,2556405
2014-09-15,9.6,9.66,9.36,9.52,9.52,435859
2014-09-17,9.54,9.54,9.45,9.49,9.49,72840
2014-09-18,9.5,9.5,9.01,9.21,9.21,303781
2014-09-19,9.22,9.22,8.75,9.06,9.06,251498
2014-09-22,9.2,9.22,8.91,9.2,9.2,286912
2014-09-23,9.25,9.39,9.1,9.11,9.11,169523
2014-09-24,9.39,9.39,9.02,9.31,9.31,246415
2014-09-25,9.3,9.3,9.2,9.2,9.2,158050
2014-09-26,9.34,9.45,9.34,9.44,9.44,364457
2014-09-29,9.45,9.45,9.4,9.44,9.44,11944
2014-09-30,9.44,9.44,9.37,9.44,9.44,56511
2014-10-01,9.4,9.45,9.37,9.4,9.4,503179
2014-10-02,9.4,9.4,9.28,9.4,9.4,285635
2014-10-03,9.4,9.4,9.4,9.4,9.4,1064
2014-10-06,9.3,9.34,9.06,9.21,9.21,350959
2014-10-07,9.32,9.32,9.11,9.16,9.16,97635
2014-10-08,9.02,9.2,9.02,9.16,9.16,553636
2014-10-09,9.13,9.13,9.0,9.0,9.0,22726
2014-10-10,9.0,9.0,8.95,9.0,9.0,273707
2014-10-13,9.29,9.29,8.97,9.0,9.0,344686
2014-10-14,9.0,9.16,9.0,9.09,9.09,261046
2014-10-15,9.18,9.18,8.9,9.0,9.0,296578
2014-10-16,9.0,9.0,9.0,9.0,9.0,32227
2014-10-17,9.0,9.0,9.0,9.0,9.0,152889
2014-10-20,8.9,9.0,8.9,9.0,9.0,1102
2014-10-21,9.0,9.1,9.0,9.0,9.0,117610
2014-10-22,9.0,9.0,8.9,9.0,9.0,200731
2014-10-23,9.0,9.14,9.0,9.0,9.0,737119
2014-10-24,9.0,9.18,9.0,9.1,9.1,371329
2014-10-27,9.0,9.0,9.0,9.0,9.0,227029
2014-10-28,9.0,9.0,8.95,8.95,8.95,204499
2014-10-29,9.0,9.18,8.9,9.0,9.0,443335
2014-10-30,9.0,9.0,8.9,8.95,8.95,242338
2014-10-31,8.96,9.14,8.9,9.06,9.06,261998
2014-11-03,9.13,9.13,9.13,9.13,9.13,1053
2014-11-04,9.0,9.0,8.95,8.99,8.99,266976
2014-11-05,8.99,9.0,8.99,8.99,8.99,25627
2014-11-06,8.93,8.93,8.93,8.93,8.93,1943
2014-11-07,8.98,8.98,8.79,8.79,8.79,119110
2014-11-10,8.97,8.97,8.8,8.93,8.93,15691
2014-11-11,8.9,8.9,8.9,8.93,8.93,1
2014-11-12,8.9,8.95,8.9,8.95,8.95,4076
2014-11-13,8.8,8.8,8.5,8.95,8.95,175
2014-11-14,8.8,8.84,8.8,8.84,8.84,40712
2014-11-18,8.85,8.85,8.0,8.44,8.44,284000
2014-11-19,8.44,8.92,8.43,8.92,8.92,197633
2014-11-20,8.84,8.84,8.84,8.84,8.84,548
2014-11-21,8.8,8.8,8.78,8.78,8.78,8129
2014-11-24,8.87,8.87,8.77,8.78,8.78,6
2014-11-25,8.5,8.77,8.5,8.77,8.77,6134
2014-11-26,8.74,8.74,8.74,8.74,8.74,2902
2014-11-27,8.73,8.73,8.4,8.69,8.69,139277
2014-11-28,8.68,8.69,8.15,8.33,8.33,127079
2014-12-01,8.4,8.73,8.4,8.5,8.5,60558
2014-12-02,8.5,8.5,8.4,8.4,8.4,53100
2014-12-03,8.4,8.49,8.36,8.49,8.49,58851
2014-12-04,8.4,8.4,8.3,8.4,8.4,149609
2014-12-05,8.4,8.4,8.3,8.4,8.4,105165
2014-12-08,8.4,8.4,8.26,8.39,8.39,60500
2014-12-09,8.4,8.4,8.3,8.3,8.3,62100
2014-12-10,8.3,8.3,8.12,8.12,8.12,155800
2014-12-11,8.3,8.3,7.8,7.81,7.81,255064
2014-12-15,8.0,8.15,7.9,7.9,7.9,40266
2014-12-16,7.9,8.28,7.85,8.1,8.1,99112
2014-12-17,8.28,8.28,7.99,8.2,8.2,135232
2014-12-18,8.2,8.28,7.99,8.2,8.2,114075
2014-12-19,8.2,8.3,8.0,8.02,8.02,719400
2014-12-22,8.02,8.27,7.9,7.9,7.9,380581
2014-12-23,8.17,8.17,7.92,7.93,7.93,203378
2014-12-24,8.14,8.29,8.1,8.29,8.29,21100
2014-12-26,8.28,8.28,7.9,7.9,7.9,128182
2014-12-29,7.9,7.9,7.6,7.9,7.9,199070
2014-12-30,7.9,8.2,7.9,8.2,8.2,1500698
2014-12-31,8.2,8.29,7.91,8.22,8.22,163009
2015-01-02,8.22,8.22,8.22,8.22,8.22,2000
2015-01-05,8.22,8.22,7.95,7.95,7.95,14964
2015-01-06,8.22,8.22,7.95,8.19,8.19,60111
2015-01-07,8.18,8.19,8.18,8.19,8.19,300
2015-01-08,8.19,8.19,8.19,8.19,8.19,0
2015-01-09,8.01,8.01,8.01,8.01,8.01,32010
2015-01-12,8.2,8.2,7.85,7.89,7.89,41819
2015-01-13,8.0,8.0,7.8,7.98,7.98,61441
2015-01-14,7.98,8.0,7.95,8.0,8.0,35000
2015-01-15,8.0,8.0,7.8,7.87,7.87,62560
2015-01-16,7.87,8.0,7.87,8.0,8.0,59969
2015-01-19,8.0,8.0,7.99,7.99,7.99,14900
2015-01-20,8.0,8.0,7.97,8.0,8.0,273104
2015-01-21,8.0,8.0,7.95,7.99,7.99,272001
2015-01-22,8.0,8.0,7.8,8.0,8.0,117969
2015-01-23,8.0,8.0,7.9,7.9,7.9,84401
2015-01-26,7.99,8.0,7.9,7.9,7.9,46813
2015-01-27,7.99,8.0,7.97,8.0,8.0,201025
2015-01-28,8.0,8.0,7.9,8.0,8.0,103966
2015-01-29,8.0,8.0,7.7,7.82,7.82,324726
2015-01-30,7.75,7.96,7.75,7.95,7.95,14000
2015-02-03,7.98,7.99,7.85,7.99,7.99,50076
2015-02-04,7.89,7.89,7.8,7.8,7.8,38336
2015-02-05,7.97,7.97,7.65,7.84,7.84,218412
2015-02-06,7.97,7.97,7.6,7.7,7.7,157141
2015-02-09,7.65,7.95,7.65,7.9,7.9,417679
2015-02-10,8.0,8.0,7.73,7.76,7.76,83937
2015-02-11,7.94,7.94,7.54,7.72,7.72,133728
2015-02-12,7.94,7.94,7.7,7.94,7.94,97412
2015-02-13,7.94,7.94,7.69,7.76,7.76,281543
2015-02-16,7.99,7.99,7.57,7.69,7.69,87889
2015-02-17,7.69,7.81,7.6,7.79,7.79,192348
2015-02-18,7.89,7.89,7.6,7.73,7.73,77770
2015-02-19,7.77,7.78,7.6,7.68,7.68,216700
2015-02-20,7.8,7.98,7.65,7.95,7.95,276435
2015-02-23,8.0,8.0,7.7,7.98,7.98,157884
2015-02-24,7.97,7.97,7.5,7.7,7.7,550746
2015-02-25,7.84,8.21,7.65,8.1,8.1,1042620
2015-02-26,8.15,8.3,7.89,8.2,8.2,939261
2015-02-27,8.2,8.29,8.15,8.26,8.26,298494
2015-03-02,8.3,8.3,8.0,8.25,8.25,142693
2015-03-03,8.28,8.3,7.95,8.27,8.27,89204
2015-03-04,8.32,8.32,7.96,8.16,8.16,137531
2015-03-05,8.2,8.2,7.98,8.0,8.0,457008
2015-03-06,8.05,8.09,7.75,8.08,8.08,220414
2015-03-09,8.2,8.2,7.95,8.1,8.1,151663
2015-03-10,8.2,8.2,7.99,8.01,8.01,271300
2015-03-11,8.02,8.16,7.96,8.01,8.01,190945
2015-03-12,8.14,8.14,7.99,8.0,8.0,141438
2015-03-13,8.0,8.07,7.91,7.91,7.91,436931
2015-03-17,7.91,8.09,7.85,8.04,8.04,654049
2015-03-18,8.15,8.15,7.95,8.07,8.07,555885
2015-03-19,8.12,8.12,7.95,8.07,8.07,161080
2015-03-20,8.15,8.15,7.99,8.0,8.0,110200
2015-03-23,8.13,8.13,7.9,7.91,7.91,47502
2015-03-24,7.96,8.0,7.89,8.0,8.0,162798
2015-03-25,8.0,8.05,8.0,8.02,8.02,391179
2015-03-26,8.11,8.11,7.95,8.04,8.04,209978
2015-03-27,8.09,8.13,8.0,8.04,8.04,309200
2015-03-30,8.12,8.2,7.99,8.1,8.1,735270
2015-03-31,8.1,8.15,8.1,8.1,8.1,108686
2015-04-01,8.1,8.23,8.1,8.19,8.19,294255
2015-04-06,8.25,8.25,8.2,8.24,8.24,46714
2015-04-07,8.24,8.26,8.1,8.19,8.19,166229
2015-04-08,8.19,8.25,8.1,8.25,8.25,40060
2015-04-09,8.28,8.28,8.18,8.25,8.25,37200
2015-04-10,8.25,8.25,8.24,8.25,8.25,20540
2015-04-13,8.25,8.25,7.95,8.07,8.07,230096
2015-04-14,8.12,8.5,8.0,8.38,8.38,305831
2015-04-15,8.3,8.3,8.19,8.25,8.25,141380
2015-04-16,8.2,8.3,8.05,8.12,8.12,76141
2015-04-17,8.06,8.2,8.05,8.05,8.05,28328
2015-04-20,8.01,8.25,8.01,8.09,8.09,195111
2015-04-21,8.1,8.36,8.09,8.2,8.2,336659
2015-04-22,8.24,8.24,8.0,8.09,8.09,324168
2015-04-23,8.14,8.35,8.14,8.2,8.2,261700
2015-04-24,8.2,8.26,8.2,8.2,8.2,116760
2015-04-27,8.2,8.45,8.2,8.45,8.45,395880
2015-04-28,8.5,8.7,8.49,8.54,8.54,685532
2015-04-29,8.6,8.6,8.56,8.59,8.59,23103
2015-04-30,8.6,8.6,8.49,8.53,8.53,431468
2015-05-04,8.5,8.54,8.5,8.54,8.54,40200
2015-05-05,8.5,8.51,8.45,8.45,8.45,203016
2015-05-06,8.45,8.54,8.36,8.49,8.49,121160
2015-05-07,8.54,8.54,8.47,8.49,8.49,11400
2015-05-08,8.53,8.53,8.2,8.5,8.5,213982
2015-05-11,8.6,8.6,8.5,8.5,8.5,247685
2015-05-12,8.6,8.6,8.5,8.6,8.6,30300
2015-05-13,8.55,8.6,8.35,8.59,8.59,192389
2015-05-14,8.6,8.6,8.25,8.53,8.53,45648
2015-05-15,8.59,8.59,8.3,8.44,8.44,58340
2015-05-18,8.4,8.55,8.23,8.32,8.32,129506
2015-05-19,8.37,8.43,8.29,8.29,8.29,230799
2015-05-20,8.34,8.34,8.15,8.33,8.33,109577
2015-05-21,8.37,8.37,8.25,8.34,8.34,42056
2015-05-22,8.39,8.39,8.2,8.29,8.29,70215
2015-05-25,8.2,8.3,8.2,8.26,8.26,2400
2015-05-26,8.28,8.29,8.2,8.2,8.2,91876
2015-05-27,8.31,8.31,8.2,8.3,8.3,76912
2015-05-28,8.48,8.48,8.2,8.2,8.2,32326
2015-05-29,8.21,8.36,8.21,8.25,8.25,910944
2015-06-01,8.21,8.35,8.21,8.35,8.35,3711
2015-06-02,8.35,8.35,8.25,8.25,8.25,40000
2015-06-03,8.26,8.4,8.21,8.34,8.34,120353
2015-06-04,8.35,8.35,8.22,8.34,8.34,315324
2015-06-05,8.34,8.35,8.19,8.34,8.34,90043
2015-06-08,8.39,8.39,8.25,8.26,8.26,75602
2015-06-09,8.26,8.35,8.19,8.35,8.35,224998
2015-06-10,8.35,8.39,8.35,8.39,8.39,30118
2015-06-11,8.44,8.44,8.26,8.27,8.27,20000
2015-06-12,8.26,8.28,8.25,8.25,8.25,43154
2015-06-15,8.25,8.26,8.2,8.2,8.2,81900
2015-06-16,8.2,8.25,8.2,8.2,8.2,186985
2015-06-17,8.2,8.21,8.18,8.2,8.2,1244360
2015-06-18,8.19,8.4,8.19,8.3,8.3,158830
2015-06-19,8.3,8.31,8.19,8.19,8.19,296426
2015-06-22,8.2,8.3,8.15,8.2,8.2,406942
2015-06-23,8.15,8.25,8.15,8.15,8.15,34069
2015-06-24,8.15,8.25,8.15,8.15,8.15,38000
2015-06-25,8.16,8.21,8.15,8.16,8.16,96250
2015-06-26,8.16,8.17,8.12,8.14,8.14,45904
2015-06-29,8.14,8.25,8.1,8.2,8.2,97500
2015-06-30,8.1,8.5,8.1,8.26,8.26,47300
2015-07-01,8.25,8.25,8.15,8.21,8.21,79768
2015-07-02,8.16,8.25,8.15,8.16,8.16,86800
2015-07-03,8.16,8.21,8.16,8.18,8.18,20800
2015-07-06,8.1,8.25,8.1,8.2,8.2,1908
2015-07-07,8.3,8.3,8.1,8.11,8.11,22864
2015-07-08,8.1,8.21,8.1,8.18,8.18,72644
2015-07-09,8.21,8.21,8.12,8.19,8.19,10002
2015-07-10,8.21,8.21,8.1,8.11,8.11,238675
2015-07-13,8.06,8.14,8.05,8.08,8.08,33010
2015-07-14,8.06,8.1,8.05,8.1,8.1,66304
