Date,Open,High,Low,Close,Adj Close,Volume
2016-03-18,1710.0,1710.0,1710.0,1710.0,1710.0,940
2016-04-04,1727.0,1727.0,1725.0,1725.0,1725.0,12490
2016-04-05,1733.0,1733.0,1733.0,1733.0,1733.0,1200
2016-04-06,1737.0,1737.0,1737.0,1737.0,1737.0,1027
2016-04-08,1743.0,1743.0,1743.0,1743.0,1743.0,21080
2016-04-12,1725.0,1725.0,1725.0,1725.0,1725.0,24000
2016-04-19,1750.0,1750.0,1750.0,1750.0,1750.0,1028
2016-04-26,1772.300049,1772.300049,1772.300049,1772.300049,1772.300049,5415
2016-04-28,1760.0,1760.0,1760.0,1760.0,1760.0,9149
2016-05-23,1845.0,1845.0,1845.0,1845.0,1845.0,4650
2016-05-25,1884.800049,1884.800049,1884.800049,1884.800049,1884.800049,5580
2016-07-15,1949.0,1949.0,1949.0,1949.0,1949.0,11020
2016-07-20,1964.0,1964.0,1964.0,1964.0,1964.0,1200
2016-07-21,1959.25,1959.25,1959.25,1959.25,1959.25,130
2016-09-29,2040.0,2040.0,2040.0,2040.0,2040.0,160
2016-10-24,1933.0,1933.0,1933.0,1933.0,1933.0,680
2016-11-10,2180.0,2180.0,2180.0,2180.0,2180.0,60
2016-11-22,2249.72998,2249.72998,2249.72998,2249.72998,2249.72998,4152
2016-12-22,2343.23999,2343.23999,2343.23999,2343.23999,2343.23999,20
2016-12-28,2338.0,2338.0,2338.0,2343.23999,2343.23999,1
2017-01-04,2340.959961,2340.959961,2340.959961,2340.959961,2340.959961,20
2017-01-05,2429.899902,2429.899902,2429.899902,2429.899902,2429.899902,4100
2017-01-19,2461.889893,2461.889893,2461.889893,2461.889893,2461.889893,205
2017-01-25,2423.0,2423.0,2423.0,2423.0,2423.0,83
2017-03-02,2345.0,2345.0,2345.0,2345.0,2345.0,45
2017-03-22,2183.580078,2183.580078,2183.580078,2183.580078,2183.580078,2290
2017-06-27,2090.649902,2090.649902,2090.649902,2090.649902,2090.649902,4100
2017-08-07,2090.649902,2090.649902,2090.649902,2090.649902,2090.649902,0
2017-08-08,2090.649902,2090.649902,2090.649902,2090.649902,2090.649902,0
2017-08-09,2090.649902,2090.649902,2090.649902,2090.649902,2090.649902,0
2017-08-10,2090.649902,2090.649902,2090.649902,2090.649902,2090.649902,0
2017-08-11,2090.649902,2090.649902,2090.649902,2090.649902,2090.649902,0
2017-08-14,2090.649902,2090.649902,2090.649902,2090.649902,2090.649902,0
2017-08-15,2090.649902,2090.649902,2090.649902,2090.649902,2090.649902,0
2017-08-16,2090.649902,2090.649902,2090.649902,2090.649902,2090.649902,0
2017-08-17,2090.649902,2090.649902,2090.649902,2090.649902,2090.649902,0
2017-08-18,2090.649902,2090.649902,2090.649902,2090.649902,2090.649902,0
2017-08-21,2090.649902,2090.649902,2090.649902,2090.649902,2090.649902,0
2017-08-22,2090.649902,2090.649902,2090.649902,2090.649902,2090.649902,0
2017-08-23,2090.649902,2090.649902,2090.649902,2090.649902,2090.649902,0
2017-08-24,2090.649902,2090.649902,2090.649902,2090.649902,2090.649902,0
2017-08-25,2090.649902,2090.649902,2090.649902,2090.649902,2090.649902,0
2017-08-28,2090.649902,2090.649902,2090.649902,2090.649902,2090.649902,0
2017-08-29,2090.649902,2090.649902,2090.649902,2090.649902,2090.649902,0
2017-08-30,2090.649902,2090.649902,2090.649902,2090.649902,2090.649902,0
2017-08-31,2090.649902,2090.649902,2090.649902,2090.649902,2090.649902,0
2017-09-01,2090.649902,2090.649902,2090.649902,2090.649902,2090.649902,0
2017-09-04,2090.649902,2090.649902,2090.649902,2090.649902,2090.649902,0
2017-09-05,2090.649902,2090.649902,2090.649902,2090.649902,2090.649902,0
2017-09-06,2090.649902,2090.649902,2090.649902,2090.649902,2090.649902,0
2017-09-07,2090.649902,2090.649902,2090.649902,2090.649902,2090.649902,0
2017-09-08,2090.649902,2090.649902,2090.649902,2090.649902,2090.649902,0
2017-09-11,2090.649902,2090.649902,2090.649902,2090.649902,2090.649902,0
2017-09-12,2090.649902,2090.649902,2090.649902,2090.649902,2090.649902,0
2017-09-13,2090.649902,2090.649902,2090.649902,2090.649902,2090.649902,0
2017-09-14,2090.649902,2090.649902,2090.649902,2090.649902,2090.649902,0
2017-09-15,2090.649902,2090.649902,2090.649902,2090.649902,2090.649902,0
2017-09-18,2090.649902,2090.649902,2090.649902,2090.649902,2090.649902,0
2017-09-19,2090.649902,2090.649902,2090.649902,2090.649902,2090.649902,0
2017-09-20,2090.649902,2090.649902,2090.649902,2090.649902,2090.649902,0
2017-09-21,2090.649902,2090.649902,2090.649902,2090.649902,2090.649902,0
2017-09-22,2090.649902,2090.649902,2090.649902,2090.649902,2090.649902,0
2017-09-25,2090.649902,2090.649902,2090.649902,2090.649902,2090.649902,0
2017-09-26,2090.649902,2090.649902,2090.649902,2090.649902,2090.649902,0
2017-09-27,2090.649902,2090.649902,2090.649902,2090.649902,2090.649902,0
2017-09-28,2090.649902,2090.649902,2090.649902,2090.649902,2090.649902,0
2017-09-29,2090.649902,2090.649902,2090.649902,2090.649902,2090.649902,0
2017-10-02,2090.649902,2090.649902,2090.649902,2090.649902,2090.649902,0
2017-10-03,2090.649902,2090.649902,2090.649902,2090.649902,2090.649902,0
2017-10-04,2090.649902,2090.649902,2090.649902,2090.649902,2090.649902,0
2017-10-05,2090.649902,2090.649902,2090.649902,2090.649902,2090.649902,0
2017-10-06,2090.649902,2090.649902,2090.649902,2090.649902,2090.649902,0
2017-10-09,2090.649902,2090.649902,2090.649902,2090.649902,2090.649902,0
2017-10-10,2090.649902,2090.649902,2090.649902,2090.649902,2090.649902,0
2017-10-11,2090.649902,2090.649902,2090.649902,2090.649902,2090.649902,0
2017-10-12,2090.649902,2090.649902,2090.649902,2090.649902,2090.649902,0
2017-10-13,2090.649902,2090.649902,2090.649902,2090.649902,2090.649902,0
2017-10-16,2090.649902,2090.649902,2090.649902,2090.649902,2090.649902,0
2017-10-17,2090.649902,2090.649902,2090.649902,2090.649902,2090.649902,0
2017-10-18,2090.649902,2090.649902,2090.649902,2090.649902,2090.649902,0
2017-10-19,2090.649902,2090.649902,2090.649902,2090.649902,2090.649902,0
2017-10-20,2090.649902,2090.649902,2090.649902,2090.649902,2090.649902,0
2017-10-23,2090.649902,2090.649902,2090.649902,2090.649902,2090.649902,0
2017-10-24,2090.649902,2090.649902,2090.649902,2090.649902,2090.649902,0
2017-10-25,2090.649902,2090.649902,2090.649902,2090.649902,2090.649902,0
2017-10-26,2090.649902,2090.649902,2090.649902,2090.649902,2090.649902,0
2017-10-27,2090.649902,2090.649902,2090.649902,2090.649902,2090.649902,0
2017-10-30,2090.649902,2090.649902,2090.649902,2090.649902,2090.649902,0
2017-10-31,2284.290039,2284.290039,2284.290039,2284.290039,2284.290039,1512
2017-11-03,2284.290039,2284.290039,2284.290039,2284.290039,2284.290039,0
2017-11-06,2284.290039,2284.290039,2284.290039,2284.290039,2284.290039,0
2017-11-07,2284.290039,2284.290039,2284.290039,2284.290039,2284.290039,0
2017-11-08,2284.290039,2284.290039,2284.290039,2284.290039,2284.290039,0
2017-11-09,2284.290039,2284.290039,2284.290039,2284.290039,2284.290039,0
2017-11-10,2284.290039,2284.290039,2284.290039,2284.290039,2284.290039,0
2017-11-13,2284.290039,2284.290039,2284.290039,2284.290039,2284.290039,0
2017-11-14,2284.290039,2284.290039,2284.290039,2284.290039,2284.290039,0
2017-11-15,2284.290039,2284.290039,2284.290039,2284.290039,2284.290039,0
2017-11-16,2284.290039,2284.290039,2284.290039,2284.290039,2284.290039,0
2017-11-17,2284.290039,2284.290039,2284.290039,2284.290039,2284.290039,0
2017-11-21,2284.290039,2284.290039,2284.290039,2284.290039,2284.290039,0
2017-11-22,2284.290039,2284.290039,2284.290039,2284.290039,2284.290039,0
2017-11-23,2284.290039,2284.290039,2284.290039,2284.290039,2284.290039,0
2017-11-24,2284.290039,2284.290039,2284.290039,2284.290039,2284.290039,0
2017-11-27,2284.290039,2284.290039,2284.290039,2284.290039,2284.290039,0
2017-11-28,2284.290039,2284.290039,2284.290039,2284.290039,2284.290039,0
2017-11-29,2284.290039,2284.290039,2284.290039,2284.290039,2284.290039,0
2017-11-30,2284.290039,2284.290039,2284.290039,2284.290039,2284.290039,0
2017-12-01,2284.290039,2284.290039,2284.290039,2284.290039,2284.290039,0
2017-12-04,2284.290039,2284.290039,2284.290039,2284.290039,2284.290039,0
2017-12-05,2284.290039,2284.290039,2284.290039,2284.290039,2284.290039,0
2017-12-07,2284.290039,2284.290039,2284.290039,2284.290039,2284.290039,0
2017-12-08,2284.290039,2284.290039,2284.290039,2284.290039,2284.290039,0
2017-12-11,2284.290039,2284.290039,2284.290039,2284.290039,2284.290039,0
2017-12-13,2284.290039,2284.290039,2284.290039,2284.290039,2284.290039,0
2017-12-14,2284.290039,2284.290039,2284.290039,2284.290039,2284.290039,0
2017-12-15,2284.290039,2284.290039,2284.290039,2284.290039,2284.290039,0
2017-12-18,2284.290039,2284.290039,2284.290039,2284.290039,2284.290039,0
2017-12-19,2284.290039,2284.290039,2284.290039,2284.290039,2284.290039,0
2017-12-20,2284.290039,2284.290039,2284.290039,2284.290039,2284.290039,0
2017-12-21,2284.290039,2284.290039,2284.290039,2284.290039,2284.290039,0
2017-12-22,2284.290039,2284.290039,2284.290039,2284.290039,2284.290039,0
2017-12-26,2284.290039,2284.290039,2284.290039,2284.290039,2284.290039,0
2017-12-27,2284.290039,2284.290039,2284.290039,2284.290039,2284.290039,0
2017-12-28,2284.290039,2284.290039,2284.290039,2284.290039,2284.290039,0
2017-12-29,2284.290039,2284.290039,2284.290039,2284.290039,2284.290039,0
2018-01-02,2284.290039,2284.290039,2284.290039,2284.290039,2284.290039,0
2018-01-03,2284.290039,2284.290039,2284.290039,2284.290039,2284.290039,0
2018-01-04,2284.290039,2284.290039,2284.290039,2284.290039,2284.290039,0
2018-01-05,2284.290039,2284.290039,2284.290039,2284.290039,2284.290039,0
