Date,Open,High,Low,Close,Adj Close,Volume
2018-07-19,17.0,17.0,17.0,17.0,17.0,7500
2018-07-20,17.0,17.0,16.5,17.0,17.0,106
2018-07-23,16.49,16.49,16.49,17.0,17.0,2
2018-07-24,17.0,17.0,17.0,17.0,17.0,0
2018-07-25,17.0,17.0,17.0,17.0,17.0,0
2018-07-26,16.49,16.49,16.49,17.0,17.0,92
2018-07-27,16.5,16.5,16.5,17.0,17.0,1
2018-07-30,17.0,17.0,17.0,17.0,17.0,0
2018-07-31,17.0,17.0,17.0,17.0,17.0,0
2018-08-01,16.5,16.5,16.5,16.5,16.5,198
2018-08-02,16.5,16.5,16.5,16.5,16.5,0
2018-08-03,16.5,16.5,16.5,16.5,16.5,0
2018-08-06,16.5,16.5,16.5,16.5,16.5,0
2018-08-07,16.5,16.5,16.5,16.5,16.5,0
2018-08-08,16.5,16.5,16.5,16.5,16.5,0
2018-08-09,16.5,16.5,16.5,16.5,16.5,0
2018-08-10,16.5,16.5,16.5,16.5,16.5,0
2018-08-13,16.5,16.5,16.5,16.5,16.5,0
2018-08-14,16.5,16.5,16.5,16.5,16.5,0
2018-08-15,16.5,16.5,16.5,16.5,16.5,0
2018-08-16,16.5,16.5,16.5,16.5,16.5,0
2018-08-17,16.5,16.5,16.5,16.5,16.5,0
2018-08-20,16.5,16.5,16.5,16.5,16.5,0
2018-08-21,16.5,16.5,16.5,16.5,16.5,0
2018-08-22,16.5,16.5,16.5,16.5,16.5,0
2018-08-23,16.49,16.5,16.49,16.5,16.5,5997
2018-08-24,16.5,16.5,16.5,16.5,16.5,0
2018-08-27,16.5,16.5,16.5,16.5,16.5,0
2018-08-28,16.5,16.5,16.5,16.5,16.5,0
2018-08-29,16.5,16.5,16.5,16.5,16.5,0
2018-08-30,16.5,16.5,16.5,16.5,16.5,0
2018-08-31,16.5,16.5,16.5,16.5,16.5,0
2018-09-03,16.5,16.5,16.5,16.5,16.5,0
2018-09-04,16.5,16.5,16.5,16.5,16.5,0
2018-09-05,16.5,16.5,16.5,16.5,16.5,0
2018-09-06,16.5,16.5,16.5,16.5,16.5,0
2018-09-07,16.5,16.5,16.5,16.5,16.5,0
2018-09-10,16.25,16.9,16.25,16.9,16.9,51400
2018-09-11,16.9,16.9,16.9,16.9,16.9,0
2018-09-12,16.9,16.9,16.9,16.9,16.9,0
2018-09-13,16.9,16.9,16.9,16.9,16.9,0
2018-09-14,16.9,16.9,16.9,16.9,16.9,0
2018-09-17,16.9,16.9,16.9,16.9,16.9,0
2018-09-18,16.9,16.9,16.9,16.9,16.9,0
2018-09-19,16.9,16.9,16.9,16.9,16.9,0
2018-09-20,16.9,16.9,16.9,16.9,16.9,0
2018-09-21,16.9,16.9,16.9,16.9,16.9,0
2018-09-24,16.9,16.9,16.9,16.9,16.9,0
2018-09-25,16.9,16.9,16.9,16.9,16.9,0
2018-09-26,16.9,16.9,16.9,16.9,16.9,0
2018-09-27,16.9,16.9,16.9,16.9,16.9,0
2018-09-28,16.450001,16.9,16.450001,16.9,16.9,40000
2018-10-01,17.0,17.0,17.0,17.0,17.0,100
2018-10-02,17.0,17.0,17.0,17.0,17.0,0
2018-10-03,17.0,17.0,17.0,17.0,17.0,0
2018-10-04,17.0,17.0,17.0,17.0,17.0,0
2018-10-05,17.0,17.0,17.0,17.0,17.0,0
2018-10-08,17.0,17.0,17.0,17.0,17.0,0
2018-10-09,17.0,17.0,17.0,17.0,17.0,0
2018-10-10,17.0,17.0,17.0,17.0,17.0,0
2018-10-11,17.0,17.0,17.0,17.0,17.0,0
2018-10-12,17.0,17.0,17.0,17.0,17.0,0
2018-10-15,17.0,17.0,17.0,17.0,17.0,0
2018-10-16,16.5,16.5,16.5,16.5,16.5,100
2018-10-17,16.5,16.5,16.5,16.5,16.5,0
2018-10-18,16.5,16.5,16.5,16.5,16.5,0
2018-10-19,16.5,16.5,16.5,16.5,16.5,0
2018-10-22,16.5,16.5,16.5,16.5,16.5,0
2018-10-23,16.5,16.5,16.5,16.5,16.5,0
2018-10-24,16.5,16.5,16.5,16.5,16.5,0
2018-10-25,16.9,16.9,16.9,16.9,16.9,25000
2018-10-26,16.9,16.9,16.9,16.9,16.9,0
2018-10-29,16.9,16.9,16.9,16.9,16.9,0
2018-10-30,16.9,16.9,16.9,16.9,16.9,0
2018-10-31,16.9,16.9,16.9,16.9,16.9,0
2018-11-01,16.9,16.9,16.9,16.9,16.9,0
2018-11-05,16.9,16.9,16.9,16.9,16.9,0
2018-11-06,16.9,16.9,16.9,16.9,16.9,0
2018-11-07,16.9,16.9,16.9,16.9,16.9,0
2018-11-08,16.9,16.9,16.9,16.9,16.9,0
2018-11-09,16.9,16.9,16.9,16.9,16.9,0
2018-11-12,16.9,16.9,16.9,16.9,16.9,0
2018-11-13,16.9,16.9,16.9,16.9,16.9,0
2018-11-14,16.4,16.9,16.4,16.9,16.9,68000
2018-11-15,16.9,16.9,16.9,16.9,16.9,0
2018-11-16,16.9,16.9,16.9,16.9,16.9,0
2018-11-20,16.9,16.9,16.9,16.9,16.9,0
2018-11-21,16.9,16.9,16.9,16.9,16.9,0
2018-11-22,16.9,16.9,16.9,16.9,16.9,0
2018-11-23,16.9,16.9,16.9,16.9,16.9,0
2018-11-26,16.9,16.9,16.9,16.9,16.9,0
