Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,20.5,21.98,20.5,20.5,17.119529999999997,0
2010-01-04,20.5,21.75,20.5,20.5,17.119529999999997,0
2010-01-05,20.5,20.5,20.5,20.5,17.119529999999997,10000
2010-01-06,20.5,20.5,20.5,20.5,17.119529999999997,2400
2010-01-07,20.0,20.5,20.0,20.0,16.701984,0
2010-01-08,20.5,20.5,20.5,20.5,17.119529999999997,3900
2010-01-11,20.5,20.5,20.5,20.5,17.119529999999997,5000
2010-01-12,20.5,21.98,20.5,20.5,17.119529999999997,0
2010-01-13,20.5,21.98,20.5,20.5,17.119529999999997,0
2010-01-14,20.5,21.98,20.5,20.5,17.119529999999997,0
2010-01-15,20.5,21.98,20.5,20.5,17.119529999999997,0
2010-01-18,20.5,21.98,20.5,20.5,17.119529999999997,0
2010-01-19,20.5,20.5,20.5,20.5,17.119529999999997,41100
2010-01-20,20.51,21.98,20.51,20.51,17.127882,0
2010-01-21,20.51,20.51,20.51,20.51,17.127882,10000
2010-01-22,20.51,22.5,20.51,20.51,17.127882,0
2010-01-25,20.51,22.0,20.51,20.51,17.127882,0
2010-01-26,20.51,22.0,20.51,20.51,17.127882,0
2010-01-27,20.51,20.51,20.51,20.51,17.127882,23400
2010-01-28,20.51,22.0,20.51,20.51,17.127882,0
2010-01-29,20.51,22.0,20.51,20.51,17.127882,0
2010-02-02,20.5,22.0,20.5,20.5,17.119529999999997,0
2010-02-03,20.51,20.51,20.51,20.51,17.127882,500
2010-02-04,20.5,22.0,20.5,20.5,17.119529999999997,0
2010-02-05,20.5,22.0,20.5,20.5,17.119529999999997,0
2010-02-08,20.51,22.0,20.51,20.51,17.127882,0
2010-02-09,20.51,20.51,20.51,20.51,17.127882,26700
2010-02-10,20.51,22.0,20.51,20.51,17.127882,0
2010-02-11,20.51,22.0,20.51,20.51,17.127882,0
2010-02-12,20.51,22.0,20.51,20.51,17.127882,0
2010-02-15,20.0,22.0,20.0,20.0,16.701984,0
2010-02-16,20.1,22.0,20.1,20.1,16.785492,0
2010-02-17,20.51,20.51,20.51,20.51,17.127882,100
2010-02-18,20.4,22.0,20.4,20.4,17.036022,0
2010-02-19,22.0,22.0,22.0,22.0,18.372181,18800
2010-02-22,22.08,23.0,22.08,22.08,18.438988000000002,0
2010-02-23,23.0,23.0,23.0,23.0,19.207281,20600
2010-02-24,22.5,22.5,22.08,22.08,18.438988000000002,0
2010-02-25,22.5,22.5,22.08,22.08,18.438988000000002,0
2010-02-26,22.5,22.5,22.08,22.08,18.438988000000002,0
2010-03-01,22.5,22.5,20.5,20.5,17.119529999999997,0
2010-03-02,22.5,22.5,22.5,22.5,18.789728,1400
2010-03-03,22.9,22.9,22.200001,22.200001,18.539204,0
2010-03-04,22.9,22.9,22.200001,22.200001,18.539204,0
2010-03-05,22.9,22.9,22.200001,22.200001,18.539204,0
2010-03-08,23.0,23.0,22.200001,22.200001,18.539204,0
2010-03-09,22.9,22.9,22.9,22.9,19.123768,200
2010-03-10,22.9,22.9,22.9,22.9,19.123768,200
2010-03-11,22.9,22.9,22.200001,22.200001,18.539204,0
2010-03-12,22.9,22.9,22.200001,22.200001,18.539204,0
2010-03-16,23.0,23.0,22.200001,22.200001,18.539204,0
2010-03-17,23.0,23.0,23.0,23.0,19.207281,4000
2010-03-18,23.0,23.0,22.9,23.0,19.207281,45200
2010-03-19,23.5,23.5,22.75,22.75,18.998503,0
2010-03-22,22.809998999999998,22.809998999999998,22.809998999999998,22.809998999999998,19.048613,8600
2010-03-23,23.5,23.5,22.9,22.9,19.123768,0
2010-03-24,23.0,23.0,23.0,23.0,19.207281,300
2010-03-25,23.5,23.5,23.5,23.5,19.62483,50000
2010-03-26,23.5,23.5,23.5,23.5,19.62483,1800
2010-03-29,23.5,23.5,23.5,23.5,19.62483,4500
2010-03-30,24.0,24.0,23.700001,23.700001,19.791847,0
2010-03-31,24.0,24.0,23.700001,23.700001,19.791847,0
2010-04-05,24.0,24.0,24.0,24.0,20.042377,400
2010-04-06,25.799999,25.799999,23.5,23.5,19.62483,0
2010-04-07,24.0,24.200001,24.0,24.0,20.042377,1700
2010-04-08,23.5,24.0,23.5,23.5,19.62483,49000
2010-04-09,25.799999,25.799999,22.5,22.5,18.789728,0
2010-04-12,25.799999,25.799999,22.5,22.5,18.789728,0
2010-04-13,23.6,23.6,22.5,22.5,18.789728,0
2010-04-14,23.6,23.6,22.5,22.5,18.789728,0
2010-04-15,23.6,23.6,22.5,22.5,18.789728,0
2010-04-16,23.6,23.6,23.6,23.6,19.70834,5000
2010-04-19,25.799999,25.799999,23.5,23.5,19.62483,0
2010-04-20,23.6,23.6,23.6,23.6,19.70834,200
2010-04-21,25.799999,25.799999,23.6,23.6,19.70834,0
2010-04-22,25.799999,25.799999,23.6,23.6,19.70834,0
2010-04-23,25.799999,25.799999,23.6,23.6,19.70834,0
2010-04-26,25.799999,25.799999,23.6,23.6,19.70834,0
2010-04-27,25.799999,25.799999,23.6,23.6,19.70834,0
2010-04-28,24.9,24.9,23.6,23.6,19.70834,0
2010-04-29,24.9,24.9,23.6,24.9,20.793966,34600
2010-04-30,24.9,24.9,23.610001,23.610001,19.71669,0
2010-05-04,26.200001,26.200001,23.6,23.6,19.70834,0
2010-05-05,24.9,24.9,23.6,23.6,19.70834,0
2010-05-06,24.9,24.9,23.6,23.6,20.204025,0
2010-05-07,24.9,24.9,23.6,23.6,20.204025,0
2010-05-10,24.9,24.9,24.9,24.9,21.316954,1200
2010-05-11,25.5,25.5,24.9,24.9,21.316954,0
2010-05-12,26.799999,26.799999,24.9,26.799999,22.94355,47700
2010-05-13,26.799999,26.799999,26.799999,26.799999,22.94355,200
2010-05-14,26.799999,26.799999,23.5,23.5,20.118412,0
2010-05-17,25.0,25.0,25.0,25.0,21.402565,30600
2010-05-18,27.0,27.0,24.5,24.5,20.974514000000003,0
2010-05-19,25.0,25.0,25.0,25.0,21.402565,30600
2010-05-20,27.0,27.0,24.5,24.5,20.974514000000003,0
2010-05-21,25.9,25.9,24.5,24.5,20.974514000000003,0
2010-05-24,27.5,27.5,24.5,24.5,20.974514000000003,0
2010-05-25,27.0,27.0,24.5,24.5,20.974514000000003,0
