Date,Open,High,Low,Close,Adj Close,Volume
2011-02-18,308.700012,308.700012,308.700012,308.700012,307.020691,1000
2011-02-28,277.0,277.0,277.0,277.0,275.49316400000004,4000
2011-03-09,229.0,229.0,229.0,229.0,227.754196,0
2011-03-10,224.350006,224.350006,224.350006,224.350006,223.12954700000003,120
2011-03-28,232.5,232.5,232.5,232.5,231.23519900000002,1000
2011-03-30,222.0,222.0,220.0,220.0,218.80316200000001,225
2011-03-31,250.0,250.0,250.0,250.0,248.639969,0
2011-04-01,250.0,250.0,250.0,250.0,248.639969,0
2011-04-04,240.0,240.0,240.0,240.0,238.694427,0
2011-04-05,240.0,240.0,240.0,240.0,238.694427,0
2011-04-06,240.0,240.0,240.0,240.0,238.694427,0
2011-04-07,240.0,240.0,240.0,240.0,238.694427,0
2011-04-08,240.0,240.0,240.0,240.0,238.694427,0
2011-04-11,246.5,246.5,246.5,246.5,245.159042,0
2011-04-12,246.5,246.5,246.5,246.5,245.159042,0
2011-04-13,208.0,246.5,208.0,208.0,206.868469,0
2011-04-14,246.5,246.5,246.5,246.5,245.159042,0
2011-04-15,246.5,246.5,246.5,246.5,245.159042,0
2011-04-26,220.0,220.0,220.0,220.0,218.80316200000001,5
2011-04-28,226.460007,226.460007,226.460007,226.460007,225.228027,220
2011-05-12,234.899994,234.899994,234.899994,234.899994,233.622131,1000
2011-05-18,212.0,212.0,212.0,212.0,210.846725,880
2011-06-21,189.0,189.0,189.0,189.0,187.971832,150
2011-06-30,187.699997,187.699997,187.699997,187.699997,186.678925,7900
2011-07-01,187.169998,187.169998,187.169998,187.169998,186.151779,12940
2011-07-05,187.169998,187.169998,187.169998,187.169998,186.151779,400
2011-07-06,180.25,180.25,180.25,180.25,179.269409,12940
2011-08-02,177.5,177.5,177.5,177.5,176.534439,15500
2011-08-03,174.5,174.5,174.5,174.5,173.550705,15500
2011-08-10,155.0,155.0,155.0,155.0,154.156799,150
2011-08-11,158.740005,158.740005,158.740005,158.740005,157.87643400000002,19000
2011-08-12,167.880005,167.880005,157.559998,157.559998,156.702896,60200
2011-08-16,159.199997,159.199997,159.199997,159.199997,158.333969,10000
2011-08-17,155.5,155.5,155.5,155.5,154.654083,10000
2011-08-30,170.0,170.0,170.0,170.0,169.07521100000002,1200
2011-09-14,196.979996,198.399994,196.91000400000001,198.399994,197.320694,40000
2011-09-15,198.399994,198.399994,198.399994,198.399994,197.320694,0
2011-09-26,190.070007,190.070007,186.110001,186.110001,185.097549,30400
2011-10-14,206.0,206.0,206.0,206.0,204.879395,655
2011-10-17,206.0,206.0,206.0,206.0,204.879395,5
2011-10-18,204.0,204.0,204.0,204.0,202.890213,5
2011-10-27,198.0,198.0,198.0,198.0,196.922821,5
2011-11-09,195.869995,195.869995,195.869995,195.869995,194.804428,655
2011-11-10,197.0,197.0,197.0,197.0,195.928329,2000
2011-11-11,202.0,202.0,202.0,202.0,200.901108,0
