Date,Open,High,Low,Close,Adj Close,Volume
2010-02-03,6.28,6.38,6.15,6.2,6.2,311100
2010-02-04,6.16,6.16,5.91,6.02,6.02,406280
2010-02-05,6.01,6.09,5.85,6.07,6.07,213000
2010-02-08,6.3,6.3,6.08,6.09,6.09,8500
2010-02-09,6.2,6.29,6.12,6.16,6.16,131000
2010-02-10,6.16,6.29,5.96,6.0,6.0,765500
2010-02-11,6.17,6.17,6.02,6.04,6.04,106018
2010-02-12,6.01,6.05,6.0,6.04,6.04,88900
2010-02-15,6.04,6.04,5.98,6.04,6.04,45500
2010-02-16,6.0,6.59,6.0,6.4,6.4,871558
2010-02-17,6.32,6.5,6.13,6.2,6.2,167200
2010-02-18,6.2,6.38,6.1,6.23,6.23,183700
2010-02-19,6.23,6.68,6.17,6.58,6.58,474200
2010-02-22,6.65,7.2,6.64,7.02,7.02,1025060
2010-02-23,7.24,7.3,7.0,7.22,7.22,715500
2010-02-24,7.35,7.77,7.33,7.57,7.57,808700
2010-02-25,7.8,7.99,7.54,7.95,7.95,807500
2010-02-26,8.0,8.4,7.85,8.17,8.17,888500
2010-03-01,8.25,9.3,8.25,9.24,9.24,1785970
2010-03-02,9.49,9.85,8.91,9.02,9.02,3036001
2010-03-03,9.14,9.2,8.6,8.72,8.72,1081400
2010-03-04,8.75,8.75,8.55,8.56,8.56,862600
2010-03-05,8.6,9.4,8.6,9.12,9.12,2484000
2010-03-08,9.15,9.74,9.15,9.65,9.65,1162706
2010-03-09,9.75,12.0,9.75,11.63,11.63,4747447
2010-03-10,11.8,12.75,11.5,12.38,12.38,6697900
2010-03-11,12.47,15.49,12.47,14.32,14.32,12430060
2010-03-12,14.59,14.9,13.1,13.93,13.93,6282630
2010-03-16,14.0,14.1,13.3,13.33,13.33,1891000
2010-03-17,13.32,14.2,13.29,13.59,13.59,4116700
2010-03-18,13.6,14.25,13.3,13.47,13.47,1482246
2010-03-19,13.47,13.75,13.3,13.45,13.45,664811
2010-03-22,13.6,13.77,13.3,13.67,13.67,570224
2010-03-23,13.66,14.0,13.65,13.97,13.97,1096700
2010-03-24,14.01,14.3,13.7,13.91,13.91,1279820
2010-03-25,13.98,14.1,13.5,13.64,13.64,969500
2010-03-26,13.74,13.88,13.5,13.51,13.51,437500
2010-03-29,13.87,13.87,13.5,13.51,13.51,113500
2010-03-30,13.6,13.79,13.1,13.32,13.32,596068
2010-03-31,13.3,13.7,13.19,13.63,13.63,532010
2010-04-05,13.75,14.3,13.75,14.14,14.14,1777349
2010-04-06,14.19,14.71,14.0,14.52,14.52,2011350
2010-04-07,14.75,14.8,14.4,14.58,14.58,1336061
2010-04-08,14.6,15.9,14.4,15.68,15.68,2698922
2010-04-09,15.89,16.42,15.1,15.43,15.43,3160302
2010-04-12,15.44,16.1,15.15,15.32,15.32,772300
2010-04-13,15.31,15.75,15.2,15.62,15.62,908500
2010-04-14,15.63,15.85,15.45,15.8,15.8,950400
2010-04-15,15.8,16.0,15.6,15.8,15.8,873100
2010-04-16,15.59,15.88,14.9,15.17,15.17,2197866
2010-04-19,15.0,15.45,14.5,14.6,14.6,1948382
2010-04-20,14.86,15.34,14.75,14.84,14.84,2942411
2010-04-21,15.0,15.18,14.29,14.39,14.39,3515312
2010-04-22,14.4,14.64,13.96,14.27,14.27,2819918
2010-04-23,14.55,14.55,14.1,14.2,14.2,426500
2010-04-26,14.3,14.3,13.8,13.9,13.9,1355700
2010-04-27,13.98,14.03,13.4,13.41,13.41,1657500
2010-04-28,13.79,13.9,13.15,13.52,13.52,1601000
2010-04-29,13.52,14.1,13.52,13.83,13.83,1747900
2010-04-30,13.75,13.75,12.01,12.12,12.12,5628900
2010-05-04,11.89,11.89,11.15,11.3,11.3,1065600
2010-05-05,11.29,11.29,10.5,10.92,10.92,1026100
2010-05-06,10.77,11.08,10.52,10.57,10.57,582200
2010-05-07,10.66,11.08,10.49,10.95,10.95,2554900
2010-05-10,11.2,12.44,11.2,11.84,11.84,2057800
2010-05-11,11.78,12.3,11.5,11.55,11.55,1507500
2010-05-12,11.7,11.8,11.4,11.4,11.4,311000
2010-05-13,11.4,11.43,10.86,10.91,10.91,916100
2010-05-14,10.53,10.85,10.5,10.58,10.58,1349300
2010-05-17,10.51,10.75,10.3,10.63,10.63,191700
2010-05-18,10.79,11.1,10.7,10.75,10.75,574000
2010-05-19,10.88,10.93,10.3,10.52,10.52,192716
2010-05-20,10.4,10.4,10.22,10.23,10.23,171000
2010-05-21,10.05,10.75,10.0,10.61,10.61,430100
2010-05-24,10.99,10.99,10.75,10.82,10.82,104600
2010-05-25,10.7,10.82,10.24,10.75,10.75,176400
2010-05-26,10.7,11.1,10.7,10.94,10.94,734451
2010-05-27,11.1,11.45,10.94,11.44,11.44,750400
2010-05-28,11.44,11.7,11.18,11.64,11.64,975700
2010-05-31,11.6,11.91,11.6,11.74,11.74,491000
2010-06-01,11.69,11.87,11.26,11.32,11.32,201400
2010-06-02,11.36,11.74,11.2,11.37,11.37,95960
2010-06-03,11.66,11.66,11.2,11.41,11.41,386320
2010-06-04,11.3,11.3,10.93,11.02,11.02,58500
2010-06-07,11.03,11.1,10.6,10.78,10.78,821500
2010-06-08,11.09,11.09,10.63,10.74,10.74,75500
2010-06-09,10.71,10.98,10.71,10.81,10.81,228130
2010-06-10,10.82,11.2,10.82,11.09,11.09,410200
2010-06-11,11.09,11.2,11.05,11.1,11.1,181400
2010-06-14,11.39,11.49,11.0,11.09,11.09,423365
2010-06-15,11.39,11.39,10.95,11.04,11.04,395600
2010-06-16,11.06,11.14,10.95,11.0,11.0,138000
2010-06-17,11.0,11.1,10.85,10.86,10.86,266700
2010-06-18,11.1,11.1,10.83,11.01,11.01,348411
2010-06-21,11.1,11.37,11.07,11.15,11.15,496400
2010-06-22,11.18,11.24,10.8,10.87,10.87,442142
2010-06-23,10.87,11.08,10.69,10.92,10.92,231900
2010-06-24,10.91,10.91,10.7,10.79,10.79,74000
2010-06-25,10.66,10.75,10.4,10.62,10.62,1441292
2010-06-28,10.62,11.0,10.62,10.79,10.79,543000
2010-06-29,10.68,10.73,10.26,10.53,10.53,795600
2010-06-30,10.53,10.68,10.26,10.3,10.3,342900
2010-07-01,10.25,10.7,10.06,10.6,10.6,325200
2010-07-02,10.75,10.87,10.4,10.75,10.75,33300
2010-07-05,10.73,10.75,10.72,10.73,10.73,4000
