Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,2.3,2.3,2.3,2.3,1.9362150000000002,86700
2010-01-04,2.3,2.3,2.3,2.3,1.9362150000000002,0
2010-01-05,2.3,2.3,2.3,2.3,1.9362150000000002,0
2010-01-06,2.3,2.3,2.3,2.3,1.9362150000000002,0
2010-01-07,2.4,2.4,2.4,2.4,2.020398,1300
2010-01-08,2.4,2.4,2.4,2.4,2.020398,0
2010-01-11,2.4,2.4,2.4,2.4,2.020398,4200
2010-01-12,2.4,2.4,2.4,2.4,2.020398,0
2010-01-13,2.4,2.4,2.4,2.4,2.020398,500
2010-01-14,2.45,2.45,2.45,2.45,2.06249,2500
2010-01-15,2.45,2.45,2.45,2.45,2.06249,3500
2010-01-18,2.45,2.45,2.45,2.45,2.06249,0
2010-01-19,2.4,2.4,2.4,2.4,2.020398,10000
2010-01-20,2.4,2.48,2.3,2.48,2.087745,16900
2010-01-21,2.48,2.48,2.48,2.48,2.087745,0
2010-01-22,2.48,2.48,2.48,2.48,2.087745,0
2010-01-25,2.48,2.48,2.48,2.48,2.087745,0
2010-01-26,2.48,2.48,2.48,2.48,2.087745,0
2010-01-27,2.48,2.48,2.48,2.48,2.087745,0
2010-01-28,2.48,2.48,2.48,2.48,2.087745,6800
2010-01-29,2.45,2.48,2.45,2.48,2.087745,1000
2010-02-02,2.48,2.48,2.48,2.48,2.087745,0
2010-02-03,2.48,2.48,2.48,2.48,2.087745,0
2010-02-04,2.48,2.48,2.48,2.48,2.087745,0
2010-02-05,2.48,2.48,2.48,2.48,2.087745,0
2010-02-08,2.48,2.48,2.48,2.48,2.087745,0
2010-02-09,2.48,2.49,2.48,2.49,2.096163,4300
2010-02-10,2.49,2.49,2.49,2.49,2.096163,0
2010-02-11,2.49,2.49,2.49,2.49,2.096163,0
2010-02-12,2.49,2.49,2.49,2.49,2.096163,0
2010-02-15,2.49,2.49,2.49,2.49,2.096163,0
2010-02-16,2.49,2.49,2.49,2.49,2.096163,0
2010-02-17,2.49,2.49,2.49,2.49,2.096163,0
2010-02-18,2.49,2.49,2.49,2.49,2.096163,0
2010-02-19,2.49,2.49,2.49,2.49,2.096163,0
2010-02-22,2.49,2.49,2.49,2.49,2.096163,0
2010-02-23,2.49,2.49,2.49,2.49,2.096163,0
2010-02-24,2.49,2.49,2.49,2.49,2.096163,0
2010-02-25,2.49,2.49,2.49,2.49,2.096163,0
2010-02-26,2.49,2.49,2.49,2.49,2.096163,0
2010-03-01,2.49,2.49,2.49,2.49,2.096163,0
2010-03-02,2.49,2.49,2.49,2.49,2.096163,0
2010-03-03,2.49,2.49,2.49,2.49,2.096163,0
2010-03-04,2.49,2.49,2.49,2.49,2.096163,0
2010-03-05,2.49,2.49,2.49,2.49,2.096163,0
2010-03-08,2.49,2.49,2.49,2.49,2.096163,0
2010-03-09,2.49,2.49,2.49,2.49,2.096163,0
2010-03-10,2.49,2.49,2.49,2.49,2.096163,0
2010-03-11,2.49,2.49,2.49,2.49,2.096163,0
2010-03-12,2.4,2.4,2.4,2.4,2.020398,2200
2010-03-16,2.4,2.4,2.4,2.4,2.020398,100
2010-03-17,2.4,2.4,2.4,2.4,2.020398,0
2010-03-18,2.45,2.45,2.2,2.45,2.06249,12300
2010-03-19,2.45,2.45,2.4,2.45,2.06249,23400
2010-03-22,2.6,2.6,2.45,2.6,2.188765,14200
2010-03-23,2.7,2.7,2.6,2.7,2.272948,2100
2010-03-24,2.7,2.7,2.7,2.7,2.272948,4500
2010-03-25,2.73,2.73,2.73,2.73,2.298203,1000
2010-03-26,2.73,2.73,2.73,2.73,2.298203,0
2010-03-29,2.73,2.73,2.73,2.73,2.298203,0
2010-03-30,2.8,2.8,2.75,2.8,2.3571310000000003,200
2010-03-31,2.8,2.8,2.8,2.8,2.3571310000000003,900
2010-04-05,2.75,2.8,2.75,2.75,2.31504,4200
2010-04-06,2.88,2.88,2.88,2.88,2.4244779999999997,100
2010-04-07,3.0,3.0,3.0,3.0,2.525498,10000
2010-04-08,3.0,3.0,3.0,3.0,2.525498,0
2010-04-09,3.14,3.14,2.77,3.14,2.643354,21800
2010-04-12,3.14,3.14,3.14,3.14,2.643354,0
2010-04-13,3.14,3.14,3.14,3.14,2.643354,15000
2010-04-14,3.9,3.9,3.9,3.9,3.283147,5000
2010-04-15,4.01,4.01,3.96,4.01,3.375749,3400
2010-04-16,4.0,4.36,4.0,4.0,3.3673300000000004,31400
2010-04-19,4.0,4.0,4.0,4.0,3.3673300000000004,300
2010-04-20,4.0,4.0,4.0,4.0,3.3673300000000004,4700
2010-04-21,4.1,4.1,3.99,4.1,3.451514,11200
2010-04-22,4.1,4.1,4.1,4.1,3.451514,44100
2010-04-23,4.19,4.19,4.1,4.19,3.527278,19100
2010-04-26,4.19,4.19,4.19,4.19,3.527278,0
2010-04-27,4.1,4.1,4.1,4.1,3.451514,10000
2010-04-28,4.0,4.0,4.0,4.0,3.3673300000000004,6500
2010-04-29,4.1,4.1,4.1,4.1,3.451514,100
2010-04-30,4.1,4.1,4.08,4.1,3.451514,3900
2010-05-05,4.0,4.0,4.0,4.0,3.3673300000000004,6000
2010-05-06,4.1,4.1,4.0,4.1,3.451514,1000
2010-05-07,4.1,4.1,4.1,4.1,3.451514,100
2010-05-10,4.05,4.1,4.05,4.05,3.409422,900
2010-05-11,4.05,4.05,4.05,4.05,3.409422,100
2010-05-12,4.1,4.1,4.1,4.1,3.451514,100
2010-05-13,4.1,4.1,4.1,4.1,3.451514,0
2010-05-14,4.1,4.1,4.1,4.1,3.451514,0
2010-05-17,4.1,4.1,4.1,4.1,3.451514,0
2010-05-18,4.1,4.1,4.1,4.1,3.451514,0
2010-05-19,4.1,4.1,4.1,4.1,3.451514,0
2010-05-20,4.1,4.1,4.1,4.1,3.451514,0
2010-05-21,3.99,3.99,3.99,3.99,3.358912,25000
2010-05-24,3.99,3.99,3.99,3.99,3.358912,0
2010-05-25,3.85,3.9,3.85,3.85,3.241055,40100
2010-05-26,3.9,3.99,3.85,3.9,3.283147,52200
2010-05-27,3.9,3.9,3.9,3.9,3.283147,8700
2010-05-31,3.9,3.9,3.9,3.9,3.283147,100
2010-06-01,3.9,3.9,3.9,3.9,3.283147,0
2010-06-02,3.79,3.79,3.79,3.79,3.190545,200
2010-06-04,3.92,5.0,3.92,3.92,3.299984,200
2010-06-07,3.92,3.92,3.92,3.92,3.299984,0
2010-06-08,4.0,4.0,4.0,4.0,3.3673300000000004,9500
2010-06-09,4.0,4.0,4.0,4.0,3.3673300000000004,0
2010-06-10,4.0,4.0,4.0,4.0,3.3673300000000004,0
2010-06-11,4.0,4.0,4.0,4.0,3.3673300000000004,0
2010-06-14,4.0,4.0,4.0,4.0,3.3673300000000004,0
2010-06-15,4.0,4.0,4.0,4.0,3.3673300000000004,0
2010-06-16,4.0,4.0,4.0,4.0,3.3673300000000004,0
2010-06-17,4.0,4.0,4.0,4.0,3.3673300000000004,400
2010-06-18,4.0,4.0,4.0,4.0,3.3673300000000004,0
2010-06-21,4.05,4.05,4.05,4.05,3.409422,7000
2010-06-22,4.05,4.05,4.05,4.05,3.409422,0
2010-06-23,4.05,4.05,4.05,4.05,3.409422,0
2010-06-24,4.0,4.05,3.99,4.0,3.3673300000000004,18100
2010-06-25,4.0,4.0,4.0,4.0,3.3673300000000004,0
2010-06-28,4.0,4.0,4.0,4.0,3.3673300000000004,0
2010-06-29,4.0,4.0,4.0,4.0,3.3673300000000004,0
2010-06-30,4.0,4.0,4.0,4.0,3.3673300000000004,0
2010-07-01,4.0,4.0,4.0,4.0,3.3673300000000004,0
2010-07-02,4.0,4.0,4.0,4.0,3.3673300000000004,0
2010-07-05,4.0,4.0,4.0,4.0,3.3673300000000004,0
2010-07-06,4.0,4.0,4.0,4.0,3.3673300000000004,0
