Date,Open,High,Low,Close,Adj Close,Volume
2017-05-23,2610.0,2610.0,2608.699951,2610.0,2607.593018,1021
2017-05-24,2610.0,2610.0,2610.0,2610.0,2607.593018,0
2017-05-25,2610.0,2610.0,2610.0,2610.0,2607.593018,0
2017-05-26,2625.449951,2625.449951,2625.449951,2625.449951,2623.028809,8
2017-05-29,2625.449951,2625.449951,2625.449951,2625.449951,2623.028809,0
2017-05-30,2656.0,2656.0,2656.0,2656.0,2653.550537,492
2017-05-31,2656.0,2656.0,2656.0,2656.0,2653.550537,0
2017-06-01,2656.0,2656.0,2656.0,2656.0,2653.550537,0
2017-06-02,2656.0,2656.0,2656.0,2656.0,2653.550537,0
2017-06-05,2656.0,2656.0,2656.0,2656.0,2653.550537,0
2017-06-06,2656.0,2656.0,2656.0,2656.0,2653.550537,0
2017-06-07,2656.0,2656.0,2656.0,2656.0,2653.550537,0
2017-06-08,2656.0,2656.0,2656.0,2656.0,2653.550537,0
2017-06-09,2656.0,2656.0,2656.0,2656.0,2653.550537,0
2017-06-12,2656.0,2656.0,2656.0,2656.0,2653.550537,0
2017-06-13,2656.0,2656.0,2656.0,2656.0,2653.550537,0
2017-06-14,2550.0,2550.0,2550.0,2550.0,2547.6489260000003,269
2017-06-15,2550.0,2550.0,2550.0,2550.0,2547.6489260000003,0
2017-06-16,2550.0,2550.0,2550.0,2550.0,2547.6489260000003,0
2017-06-19,2550.0,2550.0,2550.0,2550.0,2547.6489260000003,0
2017-06-20,2469.0,2469.0,2469.0,2469.0,2466.7236329999996,5
2017-06-21,2469.0,2469.0,2469.0,2469.0,2466.7236329999996,0
2017-06-22,2469.0,2469.0,2469.0,2469.0,2466.7236329999996,0
2017-06-23,2469.0,2469.0,2469.0,2469.0,2466.7236329999996,0
2017-06-26,2469.0,2469.0,2469.0,2469.0,2466.7236329999996,0
2017-06-27,2519.0,2519.0,2519.0,2519.0,2516.677246,128
2017-06-28,2519.0,2519.0,2519.0,2519.0,2517.1020510000003,0
2017-06-29,2519.0,2519.0,2519.0,2519.0,2517.1020510000003,0
2017-06-30,2519.0,2519.0,2519.0,2519.0,2517.1020510000003,0
2017-07-03,2519.0,2519.0,2519.0,2519.0,2517.1020510000003,0
2017-07-04,2519.0,2519.0,2519.0,2519.0,2517.1020510000003,0
2017-07-05,2519.0,2519.0,2519.0,2519.0,2517.1020510000003,0
2017-07-06,2519.0,2519.0,2519.0,2519.0,2517.1020510000003,0
2017-07-07,2547.0,2547.0,2547.0,2547.0,2545.080566,126
2017-07-10,2547.0,2547.0,2547.0,2547.0,2545.080566,0
