Date,Open,High,Low,Close,Adj Close,Volume
2018-12-24,0.205,0.205,0.205,0.205,0.205,0
2018-12-26,0.205,0.205,0.205,0.205,0.205,0
2018-12-27,0.205,0.205,0.205,0.205,0.205,0
2018-12-28,0.205,0.205,0.205,0.205,0.205,0
2018-12-31,0.205,0.205,0.205,0.205,0.205,0
2019-01-02,0.205,0.205,0.205,0.205,0.205,0
2019-01-03,0.205,0.205,0.205,0.205,0.205,0
2019-01-04,0.205,0.205,0.205,0.205,0.205,0
2019-01-07,0.205,0.205,0.205,0.205,0.205,0
2019-01-08,0.205,0.205,0.205,0.205,0.205,0
2019-01-09,0.205,0.205,0.205,0.205,0.205,0
2019-01-10,0.205,0.205,0.205,0.205,0.205,0
2019-01-11,0.205,0.205,0.205,0.205,0.205,0
2019-01-14,0.205,0.205,0.205,0.205,0.205,0
2019-01-15,0.205,0.205,0.205,0.205,0.205,0
2019-01-16,0.205,0.205,0.205,0.205,0.205,0
2019-01-17,0.205,0.205,0.205,0.205,0.205,0
2019-01-18,0.205,0.205,0.205,0.205,0.205,0
2019-01-21,0.205,0.205,0.205,0.205,0.205,0
2019-01-22,0.205,0.205,0.205,0.205,0.205,0
2019-01-23,0.205,0.205,0.205,0.205,0.205,0
2019-01-24,0.205,0.205,0.205,0.205,0.205,0
2019-01-25,0.205,0.205,0.205,0.205,0.205,0
2019-01-28,0.205,0.205,0.205,0.205,0.205,0
2019-01-29,0.205,0.205,0.205,0.205,0.205,0
2019-01-30,0.205,0.205,0.205,0.205,0.205,0
2019-01-31,0.205,0.205,0.205,0.205,0.205,0
2019-02-01,0.205,0.205,0.205,0.205,0.205,0
