Date,Open,High,Low,Close,Adj Close,Volume
2018-08-28,61.25,61.25,61.25,61.25,61.233303,0
2018-08-29,61.25,61.25,61.25,61.25,61.233303,0
2018-08-30,61.25,61.25,61.25,61.25,61.233303,0
2018-08-31,61.25,61.25,61.25,61.25,61.233303,0
2018-09-03,61.25,61.25,61.25,61.25,61.233303,0
2018-09-04,61.25,61.25,61.25,61.25,61.233303,0
2018-09-05,61.25,61.25,61.25,61.25,61.233303,0
2018-09-06,61.25,61.25,61.25,61.25,61.233303,0
2018-09-07,61.25,61.25,61.25,61.25,61.233303,0
2018-09-10,61.25,61.25,61.25,61.25,61.233303,0
2018-09-11,61.25,61.25,61.25,61.25,61.233303,0
2018-09-12,61.25,61.25,61.25,61.25,61.233303,0
2018-09-13,61.25,61.25,61.25,61.25,61.233303,0
2018-09-14,61.25,61.25,61.25,61.25,61.233303,0
2018-09-17,61.25,61.25,61.25,61.25,61.233303,0
2018-09-18,61.25,61.25,61.25,61.25,61.233303,0
2018-09-19,61.25,61.25,61.25,61.25,61.233303,0
2018-09-20,61.25,61.25,61.25,61.25,61.233303,0
2018-09-21,61.25,61.25,61.25,61.25,61.233303,0
2018-09-24,61.25,61.25,61.25,61.25,61.233303,0
2018-09-25,61.25,61.25,61.25,61.25,61.233303,0
2018-09-26,61.25,61.25,61.25,61.25,61.233303,0
2018-09-27,61.25,61.25,61.25,61.25,61.233303,0
2018-09-28,61.25,61.25,61.25,61.25,61.233303,0
2018-10-01,61.25,61.25,61.25,61.25,61.233303,0
2018-10-02,61.25,61.25,61.25,61.25,61.233303,0
2018-10-03,61.25,61.25,61.25,61.25,61.233303,0
2018-10-04,61.25,61.25,61.25,61.25,61.233303,0
2018-10-05,61.25,61.25,61.25,61.25,61.233303,0
2018-10-08,61.25,61.25,61.25,61.25,61.233303,0
2018-10-09,61.25,61.25,61.25,61.25,61.233303,0
2018-10-10,61.25,61.25,61.25,61.25,61.233303,0
2018-10-11,61.25,61.25,61.25,61.25,61.25,0
2018-10-12,61.25,61.25,61.25,61.25,61.25,0
2018-10-15,61.25,61.25,61.25,61.25,61.25,0
2018-10-16,61.25,61.25,61.25,61.25,61.25,0
2018-10-17,61.25,61.25,61.25,61.25,61.25,0
2018-10-18,61.25,61.25,61.25,61.25,61.25,0
2018-10-19,61.25,61.25,61.25,61.25,61.25,0
2018-10-22,61.25,61.25,61.25,61.25,61.25,0
2018-10-23,61.25,61.25,61.25,61.25,61.25,0
2018-10-24,61.25,61.25,61.25,61.25,61.25,0
2018-10-25,61.25,61.25,61.25,61.25,61.25,0
2018-10-26,61.25,61.25,61.25,61.25,61.25,0
2018-10-29,61.25,61.25,61.25,61.25,61.25,0
2018-10-30,61.25,61.25,61.25,61.25,61.25,0
2018-10-31,61.25,61.25,61.25,61.25,61.25,0
2018-11-01,61.25,61.25,61.25,61.25,61.25,0
2018-11-05,61.25,61.25,61.25,61.25,61.25,0
2018-11-06,61.25,61.25,61.25,61.25,61.25,0
2018-11-07,61.25,61.25,61.25,61.25,61.25,0
2018-11-08,61.25,61.25,61.25,61.25,61.25,0
2018-11-09,61.25,61.25,61.25,61.25,61.25,0
2018-11-12,61.25,61.25,61.25,61.25,61.25,0
2018-11-13,61.25,61.25,61.25,61.25,61.25,0
2018-11-14,61.25,61.25,61.25,61.25,61.25,0
2018-11-15,61.25,61.25,61.25,61.25,61.25,0
2018-11-16,61.25,61.25,61.25,61.25,61.25,0
2018-11-20,61.25,61.25,61.25,61.25,61.25,0
2018-11-21,61.25,61.25,61.25,61.25,61.25,0
2018-11-22,61.25,61.25,61.25,61.25,61.25,0
2018-11-23,61.25,61.25,61.25,61.25,61.25,0
2018-11-26,61.25,61.25,61.25,61.25,61.25,0
