Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,9.0,9.0,9.0,9.0,9.0,0
2010-01-04,9.0,9.0,9.0,9.0,9.0,4000
2010-01-05,9.0,9.0,9.0,9.0,9.0,0
2010-01-06,8.3,8.3,8.3,8.3,8.3,7000
2010-01-07,8.1,8.1,7.5,8.1,8.1,36000
2010-01-08,8.1,8.12,8.1,8.1,8.1,12000
2010-01-11,8.1,8.1,8.1,8.1,8.1,11000
2010-01-12,8.1,8.1,8.1,8.1,8.1,4800
2010-01-13,8.1,8.1,8.1,8.1,8.1,0
2010-01-14,8.1,8.1,8.1,8.1,8.1,200
2010-01-15,8.1,8.1,8.1,8.1,8.1,5000
2010-01-18,8.1,8.1,8.1,8.1,8.1,0
2010-01-19,8.1,8.1,8.1,8.1,8.1,0
2010-01-20,8.12,8.12,8.12,8.12,8.12,2100
2010-01-21,8.12,8.12,8.12,8.12,8.12,0
2010-01-22,8.12,8.12,8.12,8.12,8.12,0
2010-01-25,8.12,8.12,8.12,8.12,8.12,5000
2010-01-26,8.15,8.15,8.12,8.15,8.15,10000
2010-01-27,8.15,8.15,8.15,8.15,8.15,0
2010-01-28,8.5,8.7,8.5,8.5,8.5,7000
2010-01-29,8.7,8.7,8.7,8.7,8.7,500
2010-02-02,8.7,8.7,8.7,8.7,8.7,0
2010-02-03,7.7,9.0,7.7,7.7,7.7,15500
2010-02-04,7.7,7.7,7.7,7.7,7.7,1000
2010-02-05,7.7,7.7,7.7,7.7,7.7,0
2010-02-08,7.5,7.5,7.5,7.5,7.5,500
2010-02-09,7.8,7.8,7.7,7.8,7.8,18800
2010-02-10,7.8,7.8,7.8,7.8,7.8,4600
2010-02-11,8.08,8.08,8.08,8.08,8.08,100
2010-02-12,8.2,8.2,8.2,8.2,8.2,500
2010-02-15,8.2,8.2,8.2,8.2,8.2,0
2010-02-16,8.0,8.0,8.0,8.0,8.0,4700
2010-02-17,8.0,8.0,8.0,8.0,8.0,0
2010-02-18,8.0,8.0,8.0,8.0,8.0,0
2010-02-19,8.0,8.0,8.0,8.0,8.0,0
2010-02-22,8.0,8.0,8.0,8.0,8.0,5000
2010-02-23,8.0,8.2,8.0,8.0,8.0,10000
2010-02-24,8.0,8.0,8.0,8.0,8.0,0
2010-02-25,8.0,8.0,8.0,8.0,8.0,5000
2010-02-26,8.3,8.3,8.0,8.3,8.3,6000
2010-03-01,8.3,8.3,8.3,8.3,8.3,1000
2010-03-02,8.31,8.31,8.3,8.31,8.31,2000
2010-03-03,8.5,8.5,8.5,8.5,8.5,200
2010-03-04,8.5,8.5,8.5,8.5,8.5,0
2010-03-05,8.3,8.3,8.3,8.3,8.3,5000
2010-03-08,8.3,8.3,8.3,8.3,8.3,500
